V,D,traffic_pattern,time[s],max_load
16,5,uniform,0.00313168,8.00109
16,5,shift_1,0.00177702,3.85419
16,5,shift_half,0.00172362,5.35712
25,6,uniform,0.00837576,7.31534
25,6,shift_1,0.00440274,3.1875
25,6,shift_half,0.00450815,4.06898
36,7,uniform,0.0105471,8.0647
36,7,shift_1,0.0105307,2.57812
36,7,shift_half,0.0112878,4.64062
49,8,uniform,0.0286078,7.69012
49,8,shift_1,0.0187158,2.025
49,8,shift_half,0.0179504,3.77976
64,9,uniform,0.0431091,8.66172
64,9,shift_1,0.0334383,1.95312
64,9,shift_half,0.0328169,1.80289
81,10,uniform,0.0707216,8.22526
81,10,shift_1,0.060799,1.71875
81,10,shift_half,0.0622178,2.10938
100,11,uniform,0.123589,8.34194
100,11,shift_1,0.0996134,1.66667
100,11,shift_half,0.0923723,2.46094
