V,D,EPR,traffic,Phi,Phi_per_EP,i_conv
36,5,3,uniform,621.6035653336498,5.755588567904165,402
36,5,3,nearst-neighbour,1070.0,9.907407407407407,222
36,5,3,shift_1,1080.0,10.0,230
36,5,3,shift_half,384.0,3.5555555555555554,238
36,5,3,router-cluster,634.5762296444888,5.8757058300415625,366
36,5,3,random-permute,270.00000000000006,2.5000000000000004,246
114,8,4,uniform,2649.9296861078715,5.811249311640069,1761
114,8,4,nearst-neighbour,4550.0,9.978070175438596,690
114,8,4,shift_1,4560.0,10.0,740
114,8,4,shift_half,1519.9998550415178,3.3333330154419247,837
114,8,4,router-cluster,2259.9963057394352,4.956132249428586,3064
114,8,4,random-permute,912.0000000000002,2.0000000000000004,1037
264,11,6,uniform,8060.8970414219275,5.088950152412833,7300
264,11,6,nearst-neighbour,15830.0,9.993686868686869,1662
264,11,6,shift_1,15840.0,10.0,1590
264,11,6,shift_half,4400.000000000024,2.777777777777793,1783
264,11,6,router-cluster,6278.125407076519,3.9634630095180046,15257
264,11,6,random-permute,3167.9999999999905,1.999999999999994,2838
