V,D,EPR,traffic,Phi,Phi_per_EP,i_conv
13,4,2,uniform,260.0,10.0,0
13,4,2,nearst-neighbour,250.0,9.615384615384615,51
13,4,2,shift_1,260.0,10.0,84
13,4,2,shift_half,189.0909090909091,7.2727272727272725,84
13,4,2,router-cluster,218.1818181818182,8.391608391608392,84
13,4,2,random-permute,86.66666666666667,3.3333333333333335,67
31,6,3,uniform,930.0,10.0,0
31,6,3,nearst-neighbour,920.0,9.89247311827957,192
31,6,3,shift_1,930.0,10.0,192
31,6,3,shift_half,465.0,5.0,194
31,6,3,router-cluster,668.4004127966977,7.1871012128677165,196
31,6,3,random-permute,232.5,2.5,199
57,8,4,uniform,2279.9999999999995,9.999999999999998,0
57,8,4,nearst-neighbour,2270.0000000000005,9.956140350877195,227
57,8,4,shift_1,2280.0,10.0,348
57,8,4,shift_half,1140.0,5.0,369
57,8,4,router-cluster,1263.3767378261919,5.541126043097333,360
57,8,4,random-permute,456.0,2.0,224
91,10,5,uniform,4549.999999999999,9.999999999999998,0
91,10,5,nearst-neighbour,4540.0,9.978021978021978,472
91,10,5,shift_1,4550.0,10.0,616
91,10,5,shift_half,2426.666666666666,5.333333333333332,571
91,10,5,router-cluster,2361.4691776492127,5.190042148679589,569
91,10,5,random-permute,910.0,2.0,620
133,12,6,uniform,7980.0,10.0,0
133,12,6,nearst-neighbour,7969.999999999996,9.987468671679194,922
133,12,6,shift_1,7980.0,10.0,804
133,12,6,shift_half,2659.999999999999,3.333333333333332,840
133,12,6,router-cluster,3911.4748825151414,4.901597597136769,893
133,12,6,random-permute,1329.9999999999995,1.666666666666666,850
183,14,7,uniform,12810.0,10.0,0
183,14,7,nearst-neighbour,12800.000000000004,9.992193598750978,1104
183,14,7,shift_1,12810.0,10.0,1104
183,14,7,shift_half,4270.0,3.3333333333333335,1152
183,14,7,router-cluster,5952.186426737078,4.646515555610522,1162
183,14,7,random-permute,2562.0,2.0,1134
