V,D,EPR,traffic,Phi,Phi_per_EP,i_conv
13,4,2,random-permute,86.66666666666667,3.333333333333333,84
13,4,2,shift_half,187.2668883793336,7.2025726299743695,84
13,4,2,shift_1,260.0,10.0,84
13,4,2,nearst-neighbour,250.0,9.615384615384617,86
13,4,2,uniform,256.41025855998726,9.861933021537972,84
13,4,2,router-cluster,240.0,9.23076923076923,84
18,5,3,uniform,387.97384202176016,7.184700778180744,139
18,5,3,nearst-neighbour,530.0,9.814814814814817,171
18,5,3,shift_1,540.0,10.0,143
18,5,3,shift_half,257.1428326198056,4.761904307774177,120
18,5,3,router-cluster,432.2746089449891,8.00508535083313,167
18,5,3,random-permute,180.0,3.333333333333333,135
31,6,3,random-permute,232.5,2.5,193
31,6,3,router-cluster,783.0327636916462,8.419707136469315,192
31,6,3,shift_half,601.2120835286283,6.464646059447617,198
31,6,3,shift_1,930.0,10.0,197
31,6,3,nearst-neighbour,920.0,9.89247311827957,195
31,6,3,uniform,788.717450628457,8.480832802456526,192
32,6,3,random-permute,240.0,2.5,421
32,6,3,nearst-neighbour,950.0,9.895833333333334,291
32,6,3,shift_1,960.0,10.0,218
32,6,3,shift_half,473.23947734148265,4.929577888973777,266
32,6,3,uniform,847.0634844626777,8.823577963152893,385
32,6,3,router-cluster,821.1716365473807,8.553871214035215,617
36,5,3,uniform,659.5520773916612,6.106963679552418,406
36,5,3,nearst-neighbour,1069.9999999999998,9.907407407407405,387
36,5,3,shift_1,1080.0,10.0,358
36,5,3,shift_half,471.5248290887988,4.3659706397111,263
36,5,3,router-cluster,645.5172122577901,5.977011224609168,370
36,5,3,random-permute,270.0,2.5,277
50,7,4,random-permute,400.0,2.0,562
50,7,4,shift_half,941.1764705882352,4.705882352941177,422
50,7,4,shift_1,2000.0,10.0,408
50,7,4,nearst-neighbour,1990.0,9.95,662
50,7,4,uniform,1481.599619600636,7.40799809800318,823
50,7,4,router-cluster,1438.7235216697936,7.193617608348968,902
57,8,4,shift_1,2280.0000000000005,10.000000000000002,389
57,8,4,router-cluster,1705.1421361552634,7.478693579628349,368
57,8,4,shift_half,1347.546282648678,5.910290713371395,397
57,8,4,nearst-neighbour,2270.0,9.956140350877194,388
57,8,4,uniform,1716.0101496038671,7.526360305280119,353
57,8,4,random-permute,456.0,2.0,387
91,10,5,nearst-neighbour,4540.000000000003,9.978021978021983,659
91,10,5,shift_1,4550.0,10.0,581
91,10,5,shift_half,2696.2962962962965,5.925925925925927,698
91,10,5,router-cluster,3351.9827169259806,7.366994982254902,624
91,10,5,random-permute,909.9999999999995,1.9999999999999996,732
91,10,5,uniform,3502.005707072057,7.696715839718806,571
98,11,6,shift_1,5880.000000000002,10.000000000000004,1004
98,11,6,nearst-neighbour,5870.0,9.982993197278912,932
98,11,6,shift_half,2873.2366830981387,4.886456944044453,897
98,11,6,router-cluster,4453.056558355242,7.573225439379662,2295
98,11,6,random-permute,1176.0,2.0,1434
98,11,6,uniform,4716.00319125412,8.02041359056823,2934
114,8,4,random-permute,912.0,2.0,1493
114,8,4,uniform,3477.3929380465274,7.625861706242385,3486
114,8,4,nearst-neighbour,4550.000000000001,9.978070175438598,926
114,8,4,shift_half,2104.6154154941178,4.615384683101135,849
114,8,4,router-cluster,3363.1306018976493,7.375286407670283,2477
114,8,4,shift_1,4559.999999999999,9.999999999999998,813
128,12,6,uniform,6666.4608575559205,8.680287574942605,3886
128,12,6,random-permute,1280.0000000000002,1.666666666666667,1608
128,12,6,router-cluster,6351.012223808552,8.269547166417386,3535
128,12,6,shift_half,4095.999999999999,5.333333333333331,1123
128,12,6,shift_1,7680.0,10.0,1176
128,12,6,nearst-neighbour,7670.000000000001,9.986979166666668,1346
133,12,6,random-permute,1329.9999999999995,1.666666666666666,1115
133,12,6,uniform,6151.216470032754,7.708291315830519,824
133,12,6,router-cluster,5698.979318384589,7.14157809321377,930
133,12,6,shift_half,4583.385216124719,5.743590496396891,1078
133,12,6,shift_1,7980.000000000001,10.000000000000002,1017
133,12,6,nearst-neighbour,7970.000000000002,9.9874686716792,1107
162,13,7,nearst-neighbour,11329.99999999998,9.991181657848308,1779
162,13,7,uniform,9063.935330101684,7.992888298149633,5076
162,13,7,router-cluster,8618.685525890332,7.6002517864994115,3817
162,13,7,random-permute,2268.0000000000014,2.0000000000000013,2720
162,13,7,shift_1,11339.999999999962,9.999999999999966,1483
162,13,7,shift_half,4859.999705054564,4.285714025621309,1127
183,14,7,random-permute,2561.999999999992,1.9999999999999931,1781
183,14,7,uniform,9875.447151516544,7.709170297827122,1141
183,14,7,nearst-neighbour,12800.000000000004,9.99219359875098,1670
183,14,7,shift_1,12810.0,10.0,1512
183,14,7,shift_half,7320.00028230439,5.714285934663848,1639
183,14,7,router-cluster,9375.959951746594,7.319250547811548,1549
242,17,9,shift_1,21780.0,10.0,1909
242,17,9,nearst-neighbour,21770.00000000005,9.995408631772293,2227
242,17,9,uniform,17984.533683683403,8.257361654583748,8187
242,17,9,shift_half,9680.000000000076,4.444444444444479,1905
242,17,9,random-permute,3630.000000000005,1.6666666666666687,4014
242,17,9,router-cluster,17188.510296939017,7.89187800594078,7838
264,11,6,nearst-neighbour,15829.99999999991,9.993686868686812,1911
264,11,6,shift_half,7039.9997016059215,4.444444256064345,2090
264,11,6,router-cluster,10587.034282292438,6.683733764073509,7368
264,11,6,random-permute,3167.999999999996,1.9999999999999971,4164
264,11,6,uniform,10786.496929470144,6.809657152443273,10508
264,11,6,shift_1,15840.0,10.0,1750
