V,D,EPR,traffic,Phi,Phi_per_EP,i_conv
36,5,3,uniform,659.5520773916612,6.106963679552418,406
36,5,3,nearst-neighbour,1069.9999999999998,9.907407407407405,387
36,5,3,shift_1,1080.0,10.0,358
36,5,3,shift_half,471.5248290887988,4.3659706397111,263
36,5,3,router-cluster,645.5172122577901,5.977011224609168,370
36,5,3,random-permute,270.0,2.5,277
114,8,4,uniform,3477.3929380465274,7.625861706242385,3486
114,8,4,nearst-neighbour,4550.000000000001,9.978070175438598,926
114,8,4,shift_1,4559.999999999999,9.999999999999998,813
114,8,4,shift_half,2104.6154154941178,4.615384683101135,849
114,8,4,router-cluster,3363.1306018976493,7.375286407670283,2477
114,8,4,random-permute,912.0,2.0,1493
264,11,6,uniform,10786.496929470144,6.809657152443273,10508
264,11,6,nearst-neighbour,15829.99999999991,9.993686868686812,1911
264,11,6,shift_1,15840.0,10.0,1750
264,11,6,shift_half,7039.9997016059215,4.444444256064345,2090
264,11,6,router-cluster,10587.034282292438,6.683733764073509,7368
264,11,6,random-permute,3167.999999999996,1.9999999999999973,4164
