V,D,EPR,traffic,Phi,Phi_per_EP,i_conv
13,4,2,uniform,256.41025855998726,9.861933021537972,84
13,4,2,nearst-neighbour,250.0,9.615384615384615,86
13,4,2,shift_1,260.0,10.0,84
13,4,2,shift_half,187.2668883793336,7.2025726299743695,84
13,4,2,router-cluster,240.0,9.23076923076923,84
13,4,2,random-permute,86.66666666666667,3.3333333333333335,84
31,6,3,uniform,788.717450628457,8.480832802456526,192
31,6,3,nearst-neighbour,920.0,9.89247311827957,195
31,6,3,shift_1,930.0,10.0,197
31,6,3,shift_half,601.2120835286283,6.464646059447617,198
31,6,3,router-cluster,783.0327636916462,8.419707136469315,192
31,6,3,random-permute,232.5,2.5,193
57,8,4,uniform,1716.0101496038671,7.526360305280119,353
57,8,4,nearst-neighbour,2270.0,9.956140350877194,388
57,8,4,shift_1,2280.0000000000005,10.000000000000002,389
57,8,4,shift_half,1347.546282648678,5.910290713371395,397
57,8,4,router-cluster,1705.1421361552634,7.478693579628349,368
57,8,4,random-permute,456.0,2.0,387
91,10,5,uniform,3502.005707072057,7.696715839718806,571
91,10,5,nearst-neighbour,4540.000000000003,9.978021978021983,659
91,10,5,shift_1,4550.0,10.0,581
91,10,5,shift_half,2696.2962962962965,5.9259259259259265,698
91,10,5,router-cluster,3351.9827169259806,7.366994982254902,624
91,10,5,random-permute,909.9999999999997,1.9999999999999993,732
133,12,6,uniform,6151.216470032754,7.708291315830519,824
133,12,6,nearst-neighbour,7970.000000000002,9.987468671679201,1107
133,12,6,shift_1,7980.000000000001,10.000000000000002,1017
133,12,6,shift_half,4583.385216124719,5.743590496396891,1078
133,12,6,router-cluster,5698.979318384589,7.14157809321377,930
133,12,6,random-permute,1329.9999999999995,1.666666666666666,1115
183,14,7,uniform,9875.447151516544,7.709170297827122,1141
183,14,7,nearst-neighbour,12800.000000000005,9.99219359875098,1670
183,14,7,shift_1,12810.0,10.0,1512
183,14,7,shift_half,7320.00028230439,5.714285934663848,1639
183,14,7,router-cluster,9375.959951746594,7.319250547811548,1549
183,14,7,random-permute,2561.9999999999914,1.9999999999999933,1781
