V,D,EPR,traffic,Phi,Phi_per_EP,i_conv
18,5,3,uniform,387.97384202176016,7.184700778180744,139
18,5,3,nearst-neighbour,530.0,9.814814814814815,171
18,5,3,shift_1,540.0,10.0,143
18,5,3,shift_half,257.1428326198056,4.761904307774177,120
18,5,3,router-cluster,432.2746089449891,8.00508535083313,167
18,5,3,random-permute,180.0,3.3333333333333335,135
32,6,3,uniform,847.0634844626777,8.823577963152893,385
32,6,3,nearst-neighbour,950.0,9.895833333333334,291
32,6,3,shift_1,960.0,10.0,218
32,6,3,shift_half,473.23947734148265,4.929577888973777,266
32,6,3,router-cluster,821.1716365473807,8.553871214035215,617
32,6,3,random-permute,239.99999999999997,2.4999999999999996,421
50,7,4,uniform,1481.599619600636,7.40799809800318,823
50,7,4,nearst-neighbour,1990.0,9.95,662
50,7,4,shift_1,2000.0,10.0,408
50,7,4,shift_half,941.1764705882352,4.705882352941177,422
50,7,4,router-cluster,1438.7235216697936,7.193617608348968,902
50,7,4,random-permute,400.0,2.0,562
98,11,6,uniform,4716.00319125412,8.02041359056823,2934
98,11,6,nearst-neighbour,5870.0,9.982993197278912,932
98,11,6,shift_1,5880.000000000002,10.000000000000004,1004
98,11,6,shift_half,2873.2366830981387,4.886456944044453,897
98,11,6,router-cluster,4453.056558355242,7.573225439379662,2295
98,11,6,random-permute,1176.0,2.0,1434
128,12,6,uniform,6666.4608575559205,8.680287574942605,3886
128,12,6,nearst-neighbour,7670.000000000001,9.986979166666668,1346
128,12,6,shift_1,7680.0,10.0,1176
128,12,6,shift_half,4095.9999999999986,5.333333333333331,1123
128,12,6,router-cluster,6351.012223808552,8.269547166417386,3535
128,12,6,random-permute,1280.0000000000002,1.666666666666667,1608
162,13,7,uniform,9063.935330101684,7.992888298149633,5076
162,13,7,nearst-neighbour,11329.99999999998,9.991181657848307,1779
162,13,7,shift_1,11339.999999999962,9.999999999999966,1483
162,13,7,shift_half,4859.999705054564,4.285714025621309,1127
162,13,7,router-cluster,8618.685525890332,7.6002517864994115,3817
162,13,7,random-permute,2268.0000000000014,2.0000000000000013,2720
242,17,9,uniform,17984.533683683403,8.257361654583748,8187
242,17,9,nearst-neighbour,21770.000000000055,9.995408631772293,2227
242,17,9,shift_1,21780.0,10.0,1909
242,17,9,shift_half,9680.000000000076,4.444444444444479,1905
242,17,9,router-cluster,17188.510296939017,7.89187800594078,7838
242,17,9,random-permute,3630.0000000000045,1.6666666666666687,4014
