V,D,EPR,traffic,Phi,Phi_per_EP,i_conv
18,5,3,uniform,454.28567096165654,8.412697610401047,0
18,5,3,nearst-neighbour,530.0,9.814814814814815,22
18,5,3,shift_1,540.0,10.0,20
18,5,3,shift_half,288.0,5.333333333333333,123
18,5,3,router-cluster,484.6602336643743,8.975189512303228,151
18,5,3,random-permute,179.99999999999997,3.3333333333333326,115
32,6,3,uniform,960.0,10.0,0
32,6,3,nearst-neighbour,950.0,9.895833333333334,116
32,6,3,shift_1,960.0,10.0,208
32,6,3,shift_half,320.0,3.3333333333333335,198
32,6,3,router-cluster,960.0000000000002,10.000000000000002,0
32,6,3,random-permute,240.0,2.5,77
50,7,4,uniform,1913.4615384615383,9.567307692307692,0
50,7,4,nearst-neighbour,1990.0,9.95,319
50,7,4,shift_1,2000.0,10.0,306
50,7,4,shift_half,1000.0,5.0,329
50,7,4,router-cluster,1750.0,8.75,246
50,7,4,random-permute,400.0,2.0,315
98,11,6,uniform,5046.14083211468,8.581872163460341,0
98,11,6,nearst-neighbour,5870.0,9.982993197278912,688
98,11,6,shift_1,5880.0,10.0,639
98,11,6,shift_half,1960.0,3.3333333333333335,641
98,11,6,router-cluster,4360.533485416673,7.415873274518152,608
98,11,6,random-permute,1175.9999999999995,1.9999999999999993,700
128,12,6,uniform,7437.576466878317,9.684344357914474,299
128,12,6,nearst-neighbour,7670.0,9.986979166666666,846
128,12,6,shift_1,7680.0,10.0,876
128,12,6,shift_half,3723.636363636364,4.848484848484849,804
128,12,6,router-cluster,6791.111111111104,8.842592592592583,0
128,12,6,random-permute,1280.0000000000002,1.666666666666667,815
162,13,7,uniform,10488.343857389293,9.248980473888265,0
162,13,7,nearst-neighbour,11330.0,9.991181657848324,1083
162,13,7,shift_1,11340.0,10.0,1048
162,13,7,shift_half,5183.999999999998,4.571428571428569,1135
162,13,7,router-cluster,8852.349380232892,7.806304568106607,1657
162,13,7,random-permute,2268.0,2.0,1053
242,17,9,uniform,18882.939068100586,8.669852648347376,1458
242,17,9,nearst-neighbour,21770.0,9.995408631772268,1803
242,17,9,shift_1,21780.0,10.0,1812
242,17,9,shift_half,9680.000000000076,4.444444444444479,1814
242,17,9,router-cluster,15180.240274289145,6.969807288470681,1961
242,17,9,random-permute,3630.0000000000045,1.6666666666666687,1638
