threshold,time[s],objective_func
-0.0001,36.7663369178772,3.713125228881836
0.0,31.523500204086304,3.713125228881836
0.0001,15.258334159851074,3.718174695968628
0.001,15.720173120498657,3.7228801250457764
0.01,11.792602777481079,3.7127506732940674
threshold,time[s],objective_func
-0.0001,36.53462219238281,3.713125228881836
0.0,31.64383053779602,3.713125228881836
0.0001,15.174075841903687,3.718174695968628
0.001,15.714958906173706,3.7228801250457764
0.01,11.749491930007935,3.7127506732940674
0.1,5.748013496398926,3.7243618965148926
1.0,5.718516826629639,3.7243618965148926
