V,D,EPR,perturbation_ratio,traffic,Phi_per_EP,min,max,std
36,5,3,0.0,uniform,6.948051948051951,6.948051948051951,6.948051948051951,0.0
36,5,3,0.01,uniform,6.9328694848706665,6.928753618267961,6.936294383203326,0.002489434278057098
36,5,3,0.02,uniform,6.918195143984886,6.912389792892822,6.92245096190904,0.003706578974475732
36,5,3,0.03,uniform,6.903519229282073,6.887069407794302,6.91539880510229,0.008125838528305392
36,5,3,0.04,uniform,6.894038102374411,6.8795936288957185,6.900509582024679,0.006034036417165273
36,5,3,0.05,uniform,6.8755663413452766,6.852286495461813,6.888524995922808,0.010001293790276103
36,5,3,0.060000000000000005,uniform,6.857819925871114,6.834287308662756,6.872689181461998,0.010154007656772289
36,5,3,0.06999999999999999,uniform,6.847947757579531,6.826260877562727,6.859800628026143,0.0103745230219612
36,5,3,0.08,uniform,6.831542684450317,6.802178597028929,6.855351653956401,0.0157566151789789
36,5,3,0.09,uniform,6.8210303937110055,6.79550933694103,6.843459974175374,0.01645066229669342
36,5,3,0.09999999999999999,uniform,6.806448977711886,6.7677042759065085,6.832286415204941,0.01701263061502277
36,5,3,0.11,uniform,6.785802103587803,6.768249941021302,6.801099990544018,0.01116173438503637
36,5,3,0.12,uniform,6.774784032588508,6.721272860248479,6.807403506775487,0.027789253149241026
36,5,3,0.13,uniform,6.750821461873336,6.722220088037124,6.770016305819295,0.01420653069967307
36,5,3,0.14,uniform,6.745628807855214,6.6994565968090365,6.779492117842003,0.02497914687381243
36,5,3,0.15000000000000002,uniform,6.736270812358964,6.673479445348381,6.766332992505868,0.02833264684196405
36,5,3,0.16,uniform,6.732411299189944,6.677463554059067,6.777105398392588,0.0265401682573879
36,5,3,0.17,uniform,6.713203794205549,6.631737980200336,6.762649384374318,0.035152509590353764
36,5,3,0.18000000000000002,uniform,6.685538408196327,6.62310795435594,6.75796051466734,0.03691928119839246
36,5,3,0.19,uniform,6.654880554803202,6.592961965725437,6.697302425626056,0.03543670225090209
36,5,3,0.2,uniform,6.657430715352052,6.589641476002475,6.759002920325497,0.04261494387966675
36,5,3,0.21000000000000002,uniform,6.67021664423937,6.549971450551111,6.723512800284038,0.046289395013554904
36,5,3,0.22,uniform,6.649370519342652,6.617837898271152,6.687344462998597,0.023184352581576764
