V,D,EPR,perturbation_ratio,traffic,Phi_per_EP,min,max,std
13,4,2,0.0,uniform,10.0,10.0,10.0,0.0
13,4,2,0.01,uniform,9.950725073419326,9.936465563383159,9.966922569296656,0.008174823590299975
13,4,2,0.02,uniform,9.909056684485517,9.879603940324554,9.930155015038054,0.015007680950077073
13,4,2,0.03,uniform,9.866927456991343,9.806726676907974,9.908195210242598,0.028444194750813365
13,4,2,0.04,uniform,9.816596944683994,9.766802732161757,9.841630309324495,0.021297906204450684
13,4,2,0.05,uniform,9.762379433717289,9.715515333757494,9.817807259990552,0.03245300054407812
13,4,2,0.060000000000000005,uniform,9.738713832384327,9.598613466429539,9.813347126470301,0.06300574063407792
13,4,2,0.06999999999999999,uniform,9.693604887469842,9.542443722096166,9.809485459417678,0.07595562850061184
13,4,2,0.08,uniform,9.64229522477056,9.49086374343141,9.714510447687218,0.06783027439428714
13,4,2,0.09,uniform,9.639969337868191,9.569859508936476,9.708411376705953,0.04080522236479889
13,4,2,0.09999999999999999,uniform,9.555503346549902,9.429834058571435,9.758412879617227,0.09822225638936678
13,4,2,0.11,uniform,9.52903368370893,9.38073473884852,9.62816518192857,0.07997236026920278
13,4,2,0.12,uniform,9.484444547948971,9.183974835441225,9.639036860647558,0.1321948564774926
13,4,2,0.13,uniform,9.396268773501557,9.211128387041741,9.522861781029205,0.1046846373386919
13,4,2,0.14,uniform,9.427707402413002,9.2243136254382,9.551622232181234,0.08836436605126048
13,4,2,0.15000000000000002,uniform,9.316403541061778,9.003360297668511,9.468837370860415,0.12986228385381637
13,4,2,0.16,uniform,9.329567276735782,9.100408133222272,9.514581522986614,0.11896853699649614
13,4,2,0.17,uniform,9.302398906777231,9.056469373063841,9.455931949809921,0.11205040469952209
13,4,2,0.18000000000000002,uniform,9.235579827299286,8.801846506162583,9.51142483843475,0.19436593266287827
13,4,2,0.19,uniform,9.192788567580578,9.067964253159296,9.3434422874443,0.09435581774783851
13,4,2,0.2,uniform,9.145918865596311,8.860721120154935,9.38340345221487,0.18494635041981314
13,4,2,0.21000000000000002,uniform,9.120141898577655,8.867625068254615,9.265781023080455,0.11308018906932629
13,4,2,0.22,uniform,9.1294430320784,8.97745591741747,9.329539979720135,0.11749880068273905
13,4,2,0.23,uniform,9.04565723282909,8.80345893119214,9.219245892750202,0.12733036449518312
13,4,2,0.24000000000000002,uniform,9.120400167424808,8.933887125693968,9.365045919089583,0.12702370882969907
13,4,2,0.25,uniform,8.906971245148165,8.742247666296455,9.155398969065622,0.14064953155038415
13,4,2,0.26,uniform,8.91733188367763,8.676899654247787,9.260858480340845,0.18689837381461694
13,4,2,0.27,uniform,8.927027494595638,8.613841159017388,9.137675267510245,0.18504082402203784
13,4,2,0.28,uniform,8.922556954046769,8.690203850102836,9.08600594698114,0.10490630311044037
13,4,2,0.29000000000000004,uniform,8.812471716804462,8.443184518805682,9.057880528299819,0.16067777951132262
13,4,2,0.3,uniform,8.776923126149049,8.097950793878642,9.116472096604413,0.3112976442325283
13,4,2,0.31,uniform,8.772428679170595,8.284113009862885,8.975554064359692,0.1993305525827703
13,4,2,0.32,uniform,8.618896380005229,8.248075037889821,8.861314605358706,0.19794430731386065
13,4,2,0.33,uniform,8.867424612679473,8.5764333908324,9.142806285367552,0.18927821978677647
13,4,2,0.34,uniform,8.69505795991251,8.457011374344065,9.108770322426913,0.20046929593449803
13,4,2,0.35000000000000003,uniform,8.625538646692737,8.289168913721838,9.061637183902906,0.2539958649956606
13,4,2,0.36000000000000004,uniform,8.680869454314504,8.501989902236925,8.850802801560501,0.08710972811792315
13,4,2,0.37,uniform,8.558150765013215,7.982612539334452,8.777539382120667,0.2167548101519274
13,4,2,0.38,uniform,8.38267068967761,7.629320477082611,8.742612381227442,0.3533191851463712
13,4,2,0.39,uniform,8.55555594441237,8.299041452544964,8.955895255088153,0.21985164099883298
13,4,2,0.4,uniform,8.585358796613571,8.355314108865162,8.743220328100286,0.12050452170170728
13,4,2,0.41000000000000003,uniform,8.432851976394826,8.01942387689856,8.617949281496928,0.20266307789762492
13,4,2,0.42000000000000004,uniform,8.413542361218633,8.122903012545803,8.775795524378069,0.2364170675497026
13,4,2,0.43,uniform,8.395241301971069,7.76736809930914,8.817342519858238,0.3106751694300209
13,4,2,0.44,uniform,8.483804385808062,8.22791855548751,8.651395259542504,0.11012309847895903
13,4,2,0.45,uniform,8.281291732891045,7.95656501477698,8.729571139834142,0.25248047242113736
13,4,2,0.46,uniform,8.263128666390125,7.74022241543888,8.725137092207529,0.27247730035879336
13,4,2,0.47000000000000003,uniform,8.333995483905234,8.112787719384398,8.665543742728207,0.17848100684749496
13,4,2,0.48000000000000004,uniform,8.102626487145525,7.744993918412186,8.277471110746692,0.17893435502134708
13,4,2,0.49,uniform,8.152335658683556,7.963876907600272,8.473821518211285,0.1624987277341059
13,4,2,0.0,nearst-neighbour,9.615384615384615,9.615384615384615,9.615384615384615,0.0
13,4,2,0.01,nearst-neighbour,9.459125755578714,9.391900766937257,9.506389636908182,0.03401414627903717
13,4,2,0.02,nearst-neighbour,9.358806866962482,9.317177161039217,9.428501807383652,0.03721424522221782
13,4,2,0.03,nearst-neighbour,9.178731951152042,9.034610788891175,9.279958847220241,0.07291242045560552
13,4,2,0.04,nearst-neighbour,9.032837182209606,8.664969366976731,9.278469009968976,0.17969083072180556
13,4,2,0.05,nearst-neighbour,8.911704851484851,8.550372344464098,9.086526541003424,0.15375711492981686
13,4,2,0.060000000000000005,nearst-neighbour,8.797721491783108,8.563629194834395,9.023385849054806,0.14541979587282233
13,4,2,0.06999999999999999,nearst-neighbour,8.616723066014288,8.211427688395858,8.99463051866316,0.21298965295963665
13,4,2,0.08,nearst-neighbour,8.5736644441094,8.378842416341513,8.77216698402846,0.1170789872618257
13,4,2,0.09,nearst-neighbour,8.53572034369173,8.132005652778881,8.783326126411412,0.1994726985472103
13,4,2,0.09999999999999999,nearst-neighbour,8.42171076699901,7.894133944749893,8.742194058776242,0.23700967468271567
13,4,2,0.11,nearst-neighbour,8.206476196133893,7.702716864161337,8.466023741627815,0.2378445144004984
