V,D,EPR,perturbation_ratio,traffic,Phi_per_EP,min,max,std
18,5,3,0.0,uniform,8.412698412698411,8.412698412698411,8.412698412698411,0.0
18,5,3,0.01,uniform,8.388061464986249,8.382362865610467,8.395886103261509,0.004027448322117331
18,5,3,0.02,uniform,8.36208535148687,8.343173295530349,8.372956512071319,0.008448031507970853
18,5,3,0.03,uniform,8.336334970776882,8.310895607936995,8.360440433103726,0.014233906158399048
18,5,3,0.04,uniform,8.319559187566465,8.309316418938103,8.329145622377697,0.0061111930759056585
18,5,3,0.05,uniform,8.288250772363039,8.26004613140742,8.30985740381678,0.017284261738455174
18,5,3,0.060000000000000005,uniform,8.278920279286359,8.257015306461337,8.314242351415386,0.01685790483619978
18,5,3,0.06999999999999999,uniform,8.239856037936285,8.198432772071746,8.26297299491362,0.018862889982929086
18,5,3,0.08,uniform,8.216137688865134,8.116394504548392,8.282480637407534,0.05196802916781089
18,5,3,0.09,uniform,8.20245128113832,8.135781302472889,8.2408434117691,0.026435571468270382
18,5,3,0.09999999999999999,uniform,8.17997436075205,8.071108867000985,8.268605476756658,0.05376916708517805
18,5,3,0.11,uniform,8.1802440472099,8.01109779283266,8.275404791939117,0.06918881797321255
18,5,3,0.12,uniform,8.128483169262747,8.076447851092905,8.20791937560601,0.03989690353480844
18,5,3,0.13,uniform,8.112966975191744,7.955613544291443,8.185141245749133,0.06732763992519494
18,5,3,0.14,uniform,8.1188211912763,7.99526515035292,8.190438953166517,0.050380723872597365
18,5,3,0.15000000000000002,uniform,8.084027965863303,7.969534412423037,8.185948330305967,0.05793980124728343
18,5,3,0.16,uniform,8.041933600545363,7.889034996488316,8.147772959294072,0.08256012059965388
18,5,3,0.17,uniform,8.032702333393143,7.9198701013650235,8.117891364421483,0.07024656737224896
18,5,3,0.18000000000000002,uniform,8.012846133620139,7.853876997562968,8.09096513425852,0.06190311455389456
18,5,3,0.19,uniform,7.957029184099554,7.8106984017305585,8.054135824381731,0.07906907080444418
18,5,3,0.2,uniform,7.970091408708617,7.7847745572014215,8.079291039872734,0.07343813381336892
18,5,3,0.21000000000000002,uniform,7.895308586372089,7.781690880842722,7.965110115204707,0.049948829184720885
18,5,3,0.22,uniform,7.896555315692813,7.784506771878761,7.976031074546841,0.07584782732049337
18,5,3,0.23,uniform,7.894471133965911,7.812113042933203,7.960156794332348,0.047953434044068634
18,5,3,0.24000000000000002,uniform,7.8562730362840965,7.577696439139096,7.9745725835483725,0.10789333035478402
18,5,3,0.25,uniform,7.876278036469843,7.601666955638139,7.998012325801574,0.11022705681457966
18,5,3,0.26,uniform,7.802473697412448,7.651742952105999,7.890263773604256,0.07407431351861625
18,5,3,0.27,uniform,7.821831269594421,7.628607622513965,7.998821228897286,0.11239376660397432
18,5,3,0.28,uniform,7.804929243551626,7.7055984923003376,7.9524948779504046,0.07717659419859882
18,5,3,0.29000000000000004,uniform,7.7945656370207015,7.658078867242373,7.928194873900225,0.08938594268120192
18,5,3,0.3,uniform,7.7540135530374545,7.55325633628323,7.855388406640903,0.1018408719516746
18,5,3,0.31,uniform,7.775773715805899,7.665527716511029,7.885500562706052,0.06388228049554191
18,5,3,0.32,uniform,7.687037849391855,7.5255586612374525,7.814967797233259,0.08344437742918923
18,5,3,0.33,uniform,7.667105254780617,7.279364591846666,7.851878105999907,0.16532193452674276
18,5,3,0.34,uniform,7.6874486724715725,7.500648849970838,7.797096599013853,0.09599278950345734
18,5,3,0.35000000000000003,uniform,7.583304605404888,7.147130892773271,7.818315354926161,0.2026920646722391
18,5,3,0.36000000000000004,uniform,7.661417963442547,7.573834475705007,7.755858813949459,0.06541798988100218
18,5,3,0.37,uniform,7.6425233763330045,7.3891898409075285,7.8386866296103515,0.14499704398012944
18,5,3,0.38,uniform,7.535166030831711,7.343355610460144,7.721581121731061,0.12166383778597946
18,5,3,0.39,uniform,7.591004728379429,7.3861659980058505,7.784317147208086,0.12780400325253
18,5,3,0.4,uniform,7.550846846135637,7.382848869128681,7.677194529701193,0.09828347931497695
18,5,3,0.41000000000000003,uniform,7.540209669832694,7.312467762339176,7.630977152730952,0.09513553582944947
18,5,3,0.42000000000000004,uniform,7.525140816267526,7.320095293982689,7.6467834149110745,0.08174480748651036
18,5,3,0.43,uniform,7.441128082621015,7.153381283058906,7.664316709336482,0.1321400090789888
18,5,3,0.44,uniform,7.391231176272825,7.088481550010694,7.617905650981986,0.173507755058606
18,5,3,0.45,uniform,7.416294705225954,7.289390591749431,7.642190252104403,0.1097585796108687
18,5,3,0.46,uniform,7.3848765877562785,7.163580611442696,7.584619568150446,0.13718081534244242
18,5,3,0.47000000000000003,uniform,7.390098912500839,7.172356101514155,7.638288435297386,0.14087532955782534
18,5,3,0.48000000000000004,uniform,7.44330057474648,7.108711268768823,7.762863177543509,0.18089405476450868
18,5,3,0.49,uniform,7.419616270035441,6.988978110149692,7.6882929612808075,0.19281125916084418
