V,D,EPR,perturbation_ratio,traffic,Phi_per_EP,min,max,std
36,5,3,0.0,uniform,5.157351607608155,5.157351607608155,5.157351607608155,0.0
36,5,3,0.01,uniform,5.155492330895034,5.152992208044174,5.159799903814236,0.0023258566806973447
36,5,3,0.02,uniform,5.154199127268779,5.146665002242865,5.1606514298435755,0.0037968740023235797
36,5,3,0.03,uniform,5.152710505968502,5.13690687120452,5.165866168905423,0.008456778006451391
36,5,3,0.04,uniform,5.1463537319760375,5.126185846316609,5.161586617343765,0.009994031379439742
36,5,3,0.05,uniform,5.155117031789922,5.122154848805033,5.171401369195179,0.014112754652039565
36,5,3,0.060000000000000005,uniform,5.1467824496918775,5.114640479762256,5.181288876552357,0.019873854561029736
36,5,3,0.06999999999999999,uniform,5.1401739712482035,5.110848112360081,5.154441029041913,0.012745534858984331
36,5,3,0.08,uniform,5.139651927603213,5.120491528508328,5.165819361484629,0.01527184506107073
36,5,3,0.09,uniform,5.1447516176466115,5.121032224227386,5.173595448220562,0.016565558628425115
36,5,3,0.09999999999999999,uniform,5.136659093265761,5.0987075793804015,5.19170635545586,0.02900592294719061
36,5,3,0.11,uniform,5.13535564375906,5.072644050506623,5.201997336241642,0.03312423443907233
36,5,3,0.12,uniform,5.142990076904649,5.09680041559189,5.187752754411528,0.027445684623590587
36,5,3,0.13,uniform,5.1383931926658795,5.098481663778076,5.17895752790768,0.022015007360312713
36,5,3,0.14,uniform,5.136220415570298,5.083977086685104,5.191175311411573,0.04091310251010984
36,5,3,0.15000000000000002,uniform,5.110001709023869,5.023559384214946,5.167499436268754,0.04235088945518141
36,5,3,0.16,uniform,5.119516936705817,5.040369503640431,5.154488158145524,0.03691079604032353
36,5,3,0.17,uniform,5.124617860165502,5.065242903604468,5.1682291164378755,0.026108186636410693
36,5,3,0.18000000000000002,uniform,5.129437361821227,5.077202396106418,5.176112683939352,0.036479316142426374
36,5,3,0.19,uniform,5.092576119147246,5.02729830096849,5.132578624373461,0.03272327314918057
36,5,3,0.2,uniform,5.098251828620626,5.010199038844082,5.163508085304866,0.04831929739453221
36,5,3,0.21000000000000002,uniform,5.102109888994301,5.020599849846868,5.1808411739584095,0.05224944678225977
36,5,3,0.22,uniform,5.115581494015545,5.052810086947308,5.199567052368959,0.045389900119951324
36,5,3,0.23,uniform,5.097194127348304,5.02468679356711,5.171193252591195,0.04645602891688809
36,5,3,0.24000000000000002,uniform,5.106168208302638,4.906699635008238,5.18925635678501,0.07931948767232477
36,5,3,0.25,uniform,5.113202884309146,5.059081413882223,5.157694890808721,0.03444629995941049
36,5,3,0.26,uniform,5.11341415141767,4.980404796290248,5.237588340353739,0.07164243775699056
36,5,3,0.27,uniform,5.08105101234415,4.973655892931055,5.194430393502154,0.062144620851245815
36,5,3,0.28,uniform,5.080449328144659,5.019021955286342,5.169590402611631,0.04328361313064654
36,5,3,0.29000000000000004,uniform,5.0912459098234315,4.925863601655027,5.165751265819052,0.06160245949538556
36,5,3,0.3,uniform,5.098163980281942,4.995305081491408,5.194813478104476,0.06643016996185401
36,5,3,0.31,uniform,5.045117706564353,4.920744350563798,5.118911259291865,0.06240330270237486
36,5,3,0.32,uniform,5.081217316005424,4.991007046627972,5.141500882029139,0.051041576224356566
36,5,3,0.33,uniform,5.103222015305635,5.006671839396051,5.155942551191873,0.047874489125823434
36,5,3,0.34,uniform,5.024806372418224,4.849975961286151,5.1792345221336,0.09224158814336711
36,5,3,0.35000000000000003,uniform,5.057229314223184,4.936351333161692,5.15556605009196,0.07319183126075046
36,5,3,0.36000000000000004,uniform,5.063085013603936,5.005139026037027,5.121840939776941,0.04196314846815776
36,5,3,0.37,uniform,5.061804201439748,5.003586472014734,5.14954844685365,0.04866694070729289
36,5,3,0.38,uniform,5.059841510835318,4.932946430834249,5.150422524801525,0.06344524715824387
36,5,3,0.39,uniform,5.058588313961719,4.938459833737794,5.191592157347839,0.06782263309689732
36,5,3,0.4,uniform,5.091053266408801,5.0227227899078875,5.212090773340192,0.05740840413628009
36,5,3,0.41000000000000003,uniform,5.051651932076264,4.760669639554744,5.140475503609547,0.10511206671456114
36,5,3,0.42000000000000004,uniform,5.094817794252377,4.958817553493673,5.217380476769226,0.06984246128815845
36,5,3,0.43,uniform,5.062639942323377,4.855100131911441,5.177886686813053,0.07923975199122953
36,5,3,0.44,uniform,5.088294746998537,4.922902730010744,5.185183572011706,0.07912954568027558
36,5,3,0.45,uniform,5.027623790869174,4.67580268154783,5.156161961128777,0.13764897794928369
36,5,3,0.46,uniform,5.057107214954776,4.95846588501479,5.175086926814014,0.06892400463456597
36,5,3,0.47000000000000003,uniform,5.042303567159705,4.9995208804163624,5.104198282668921,0.03153082554993094
36,5,3,0.48000000000000004,uniform,5.0267707504802885,4.927343092004258,5.119069971275626,0.055912680725392634
36,5,3,0.49,uniform,5.016917995774775,4.809191405854457,5.132880273165103,0.0854660582633605
36,5,3,0.0,nearst-neighbour,6.410675381263616,6.410675381263616,6.410675381263616,0.0
36,5,3,0.01,nearst-neighbour,6.375983536716914,6.322785051048483,6.420285431260997,0.027915969458180572
36,5,3,0.02,nearst-neighbour,6.368487012008324,6.310758538202448,6.424318594642178,0.03216565084484215
36,5,3,0.03,nearst-neighbour,6.340222525798815,6.231637120422112,6.468094755840467,0.060124271494180793
36,5,3,0.04,nearst-neighbour,6.378974391384655,6.161436610435772,6.521305633618774,0.09971458140856942
36,5,3,0.05,nearst-neighbour,6.320902730308406,6.240734843736551,6.433345003454709,0.05789691321359238
36,5,3,0.060000000000000005,nearst-neighbour,6.2922048673452355,6.018691217779934,6.474325949238772,0.13159259685530417
36,5,3,0.06999999999999999,nearst-neighbour,6.254513230368413,5.944360338122648,6.541257319485287,0.1629306559924099
36,5,3,0.08,nearst-neighbour,6.229645574659964,5.840684221343112,6.5145239422068375,0.20796039265118554
36,5,3,0.09,nearst-neighbour,6.1104182250643975,5.796269438644477,6.337294188997387,0.15873354374444687
36,5,3,0.09999999999999999,nearst-neighbour,6.119253280167492,5.87324489691758,6.391446386431993,0.13816339244288858
36,5,3,0.11,nearst-neighbour,6.326213655804884,6.147370371165219,6.603239918163252,0.14342504162039416
36,5,3,0.12,nearst-neighbour,6.130990565779676,5.873901322721075,6.395218499461947,0.16486312865768532
36,5,3,0.13,nearst-neighbour,5.965538084049959,5.655603970903152,6.21071008223618,0.1600955862558763
36,5,3,0.14,nearst-neighbour,6.049232647934064,5.649437092612364,6.4260396689190395,0.20672931661557026
36,5,3,0.15000000000000002,nearst-neighbour,6.038259984219521,5.6034699823203376,6.527652595149935,0.2606561448548319
36,5,3,0.16,nearst-neighbour,5.919459126139525,5.529654093017008,6.245595067555159,0.20175479806157873
36,5,3,0.17,nearst-neighbour,5.942325697650739,5.65004379112919,6.3127986733882135,0.25079872743105475
36,5,3,0.18000000000000002,nearst-neighbour,5.815812394978628,5.227054775811001,6.479176067651167,0.33091370967477235
36,5,3,0.19,nearst-neighbour,6.109098011049863,5.435884747051699,6.704587622054226,0.3962851452519559
36,5,3,0.2,nearst-neighbour,5.9355519874178295,5.4908233932691415,6.836135966829919,0.42604603379365996
36,5,3,0.21000000000000002,nearst-neighbour,5.81048836781031,5.436781127341421,6.668499151940349,0.3600522596637015
36,5,3,0.22,nearst-neighbour,5.989291398403512,5.221119202596782,6.520793253547834,0.36574781145225116
36,5,3,0.23,nearst-neighbour,5.962387735148373,5.334476553112672,6.560493386966762,0.37044843627202395
36,5,3,0.24000000000000002,nearst-neighbour,5.6040506178070135,4.863457830580951,6.35950482034955,0.4911240043185813
36,5,3,0.25,nearst-neighbour,5.820129626973919,5.509453709980359,6.502793621237767,0.277739111955187
36,5,3,0.26,nearst-neighbour,5.622406803302858,5.013798157602429,6.38383278951074,0.4409595859494972
36,5,3,0.27,nearst-neighbour,5.455926068810006,4.974011122819544,6.085782878948919,0.3390322870009824
