V,D,EPR,perturbation_ratio,traffic,Phi_per_EP,min,max,std
13,4,2,0.0,uniform,8.462282398452613,8.462282398452613,8.462282398452613,0.0
13,4,2,0.01,uniform,8.460033646924426,8.449038797961013,8.46763793759702,0.005988971557716933
13,4,2,0.02,uniform,8.440225161387866,8.418863991031508,8.465463350219485,0.015425624281694222
13,4,2,0.03,uniform,8.43007581096596,8.379935114384676,8.472823307788081,0.0313214220979522
13,4,2,0.04,uniform,8.421782459466225,8.340420182990194,8.48374511315939,0.037651010100700745
13,4,2,0.05,uniform,8.407709703458423,8.329661449998353,8.522941634141935,0.05911524580631322
13,4,2,0.060000000000000005,uniform,8.42678069686438,8.362565504426964,8.507555463904524,0.049922821065194856
13,4,2,0.06999999999999999,uniform,8.430603941403074,8.340471296204438,8.587304064028102,0.07189672124302887
13,4,2,0.08,uniform,8.441866304336806,8.177667812069,8.52879131395677,0.09737104154406728
13,4,2,0.09,uniform,8.429671568636774,8.352425968271659,8.503129050668035,0.0442424888726167
13,4,2,0.09999999999999999,uniform,8.392078621554175,8.240916295532942,8.644704813557716,0.1228347522080265
13,4,2,0.11,uniform,8.420642581227554,8.173830701367534,8.64227284799733,0.12676541004598646
13,4,2,0.12,uniform,8.346908054649052,8.133477913941414,8.56258876820931,0.10724560662462639
13,4,2,0.13,uniform,8.381215793841577,8.171662961953906,8.607386874174933,0.14869719811481935
13,4,2,0.14,uniform,8.368425689571568,8.14694585399373,8.59239413354931,0.15387850786192048
13,4,2,0.15000000000000002,uniform,8.34933571752731,8.169627089963633,8.569316986848015,0.13593221409932119
13,4,2,0.16,uniform,8.330113704954705,8.085456892392207,8.592038111605772,0.16012453039683627
13,4,2,0.17,uniform,8.43051044667265,8.07638777522107,8.573759756676889,0.13979830964654463
13,4,2,0.18000000000000002,uniform,8.359142300602787,8.045480148408004,8.703343926906427,0.2273745261569284
13,4,2,0.19,uniform,8.28818723608426,7.9165195010773965,8.599821971260974,0.2129993250225398
13,4,2,0.2,uniform,8.293130624640241,7.980748444243573,8.548326718230644,0.16999155067574984
13,4,2,0.21000000000000002,uniform,8.286305132148641,7.901039844158443,8.726710006741785,0.2391186568676926
13,4,2,0.22,uniform,8.28124078611829,7.807918982878511,8.634923287821378,0.27636035178225593
13,4,2,0.23,uniform,8.31869719637514,7.959551099952078,8.665099710930109,0.23844187380708878
13,4,2,0.24000000000000002,uniform,8.234663530987907,7.966798615536143,8.53253327854342,0.18910244120277675
13,4,2,0.25,uniform,8.150837674569539,7.833265841415256,8.543348089559219,0.2092573610709246
13,4,2,0.26,uniform,8.145309592967402,7.815217893698442,8.507369180455663,0.18899245211688856
13,4,2,0.27,uniform,8.238398903082322,7.78404136383424,8.638907908662175,0.2747029962468244
13,4,2,0.28,uniform,8.256261640496783,7.83113660775553,8.546140210831226,0.22887561578741622
13,4,2,0.29000000000000004,uniform,8.276627856034144,7.9192171554246,8.865872748355253,0.25652413848951
13,4,2,0.3,uniform,8.204508042327184,7.536748842101625,8.527145777397154,0.2871315378489635
13,4,2,0.31,uniform,8.196754569053093,7.731026447408878,8.856885245655702,0.32492627549007597
13,4,2,0.32,uniform,8.256538101198583,7.552364565147452,8.625550151534805,0.31881346423018125
13,4,2,0.33,uniform,8.23637590888417,7.594318543309795,8.71578127672097,0.3105719525156868
13,4,2,0.34,uniform,8.058070444835199,7.3962124846561474,8.508480888175228,0.2808984835160098
13,4,2,0.35000000000000003,uniform,8.196434028788627,7.654922935175351,8.652475542401492,0.27957066319613555
13,4,2,0.36000000000000004,uniform,8.079816542883583,7.044821355285431,8.706329604477292,0.46691810641369996
13,4,2,0.37,uniform,8.172904951281078,7.982612539334452,8.498307950209453,0.1598118705436186
13,4,2,0.38,uniform,8.020163036271075,7.523639395462032,8.565816898754731,0.36006014731063163
13,4,2,0.39,uniform,7.9038504060238655,7.140698697189091,8.237098563054474,0.31988617207556924
13,4,2,0.4,uniform,8.028113816471373,6.818580093888658,8.660384179440264,0.5521042007330658
13,4,2,0.41000000000000003,uniform,8.003812077827574,7.274938875886361,8.617949281496928,0.4179318535111696
13,4,2,0.42000000000000004,uniform,8.069499658443494,7.597480215187425,8.439458916514138,0.24110618057740976
13,4,2,0.43,uniform,8.078283979655634,7.1063933008878255,8.611734971272146,0.42940964468592807
13,4,2,0.44,uniform,8.15319994244575,7.696710375321645,8.5670910073736,0.3070461620145252
13,4,2,0.45,uniform,8.03172795611042,7.270521955027348,8.625437676068264,0.34253102068755625
13,4,2,0.46,uniform,8.18824290852538,7.74022241543888,8.51657743121819,0.21617151529061027
13,4,2,0.47000000000000003,uniform,7.872769800097915,6.949310476747721,8.529683960096738,0.4514173005760211
