V,D,EPR,perturbation_ratio,traffic,Phi_per_EP,min,max,std
18,5,3,0.0,uniform,5.860979462875196,5.860979462875196,5.860979462875196,0.0
18,5,3,0.01,uniform,5.856948076076378,5.85025666276034,5.86381924746931,0.004302023121989602
18,5,3,0.02,uniform,5.851103785884338,5.835109281653042,5.863381480218212,0.009615046070733877
18,5,3,0.03,uniform,5.851986012274338,5.829370836237977,5.862678050377163,0.008780252290884109
18,5,3,0.04,uniform,5.849588596979178,5.831170276014948,5.867918936086745,0.009645886382781795
18,5,3,0.05,uniform,5.83944231921277,5.788047790421301,5.868613406114979,0.024045410247383908
18,5,3,0.060000000000000005,uniform,5.8493801125930265,5.820710369928376,5.88288947079339,0.017896897756196503
18,5,3,0.06999999999999999,uniform,5.83028219627041,5.792805066557226,5.8908285674056575,0.025111228942814024
18,5,3,0.08,uniform,5.834536187531448,5.779958488358956,5.8999439024875135,0.029647608203484888
18,5,3,0.09,uniform,5.826680160353721,5.77513160654919,5.898809289687837,0.03852675660294851
18,5,3,0.09999999999999999,uniform,5.811233196976268,5.723861828645766,5.9229863838764265,0.057359214419435055
18,5,3,0.11,uniform,5.79472299699343,5.730945512960022,5.8938991581032045,0.04549162042053802
18,5,3,0.12,uniform,5.81229055617748,5.752235891212134,5.880186398341369,0.04037615409812603
18,5,3,0.13,uniform,5.813630837294246,5.760039927052792,5.886660008359193,0.03655236769865755
18,5,3,0.14,uniform,5.816255090016907,5.699954453968025,5.899336196848646,0.0635855208839059
18,5,3,0.15000000000000002,uniform,5.827427035062863,5.718687252933751,5.892039684672476,0.05343465308852532
18,5,3,0.16,uniform,5.825151722092172,5.734890169785877,5.9379287552754185,0.05059105397460147
18,5,3,0.17,uniform,5.808989731591603,5.708792490805455,5.89250766305081,0.05997285720591245
18,5,3,0.18000000000000002,uniform,5.807834846714838,5.660616710035828,5.894855462104077,0.06279205736135023
18,5,3,0.19,uniform,5.813765118691883,5.613247008133997,5.928379836889934,0.08778986589565001
18,5,3,0.2,uniform,5.829423245379051,5.705540013321506,5.930355975468451,0.06596423005601015
