V,D,EPR,perturbation_ratio,traffic,Phi_per_EP,min,max,std
18,5,3,0.0,uniform,7.835527835527837,7.835527835527837,7.835527835527837,0.0
18,5,3,0.01,uniform,7.831169854778662,7.8228913527293695,7.843108580436569,0.006602851961179607
18,5,3,0.02,uniform,7.818169147212352,7.804564208414514,7.833602586787787,0.008775384469736696
18,5,3,0.03,uniform,7.806855763496074,7.7954862692171,7.815352236182236,0.005905497860727627
18,5,3,0.04,uniform,7.7844336780407515,7.761768278467218,7.804039949058272,0.014844852204181407
18,5,3,0.05,uniform,7.7668301712351155,7.736784942609534,7.791261230230251,0.01734643882042979
18,5,3,0.060000000000000005,uniform,7.7715447670301625,7.7487190271482245,7.794371338758917,0.01349120391286352
18,5,3,0.06999999999999999,uniform,7.749718190433074,7.716123925303441,7.7708261443465725,0.01824006600602873
18,5,3,0.08,uniform,7.742835853491549,7.699578712675504,7.779788180414837,0.02477870423088682
18,5,3,0.09,uniform,7.722149756348375,7.693359197761844,7.760034209341565,0.02240405226030569
18,5,3,0.09999999999999999,uniform,7.715479295531772,7.6355100087358245,7.778636597719747,0.0472276181703349
18,5,3,0.11,uniform,7.69684121053866,7.637237322062255,7.752072373946089,0.027834629250814504
18,5,3,0.12,uniform,7.704818158398268,7.629932139347654,7.769084010085795,0.03779300636987933
18,5,3,0.13,uniform,7.672030638738045,7.633151188125567,7.732979267545334,0.03187833831233761
18,5,3,0.14,uniform,7.646684239389789,7.568645923821839,7.709005190410311,0.041178938512854854
18,5,3,0.15000000000000002,uniform,7.642314912934225,7.524166835711553,7.721343579255951,0.05849542336224952
18,5,3,0.16,uniform,7.617724267863967,7.484656147224955,7.692957893205251,0.05778389603314423
18,5,3,0.17,uniform,7.605132710052407,7.466335602947902,7.743291031950519,0.07480083898239313
18,5,3,0.18000000000000002,uniform,7.603101239937883,7.429463838323087,7.760987698074998,0.08282412852263113
18,5,3,0.19,uniform,7.6099319563420025,7.473474129534554,7.6578218982377075,0.05159895373706383
18,5,3,0.2,uniform,7.580662279046566,7.408707259397313,7.748535301683133,0.08783533439256923
18,5,3,0.21000000000000002,uniform,7.546000656422592,7.44556313990934,7.602959874309597,0.043878534708495794
18,5,3,0.22,uniform,7.546674553804673,7.429576220952316,7.6438494924248355,0.06089974233370788
18,5,3,0.23,uniform,7.514225215701357,7.398951997366744,7.636853307716653,0.07627288540265195
18,5,3,0.24000000000000002,uniform,7.525973891980866,7.391369660110511,7.603905721671983,0.05289162572978528
