V,D,EPR,perturbation_ratio,traffic,Phi_per_EP,min,max,std
18,5,3,0.0,uniform,8.412698412698411,8.412698412698411,8.412698412698411,0.0
18,5,3,0.01,uniform,8.410675563398872,8.408374221825696,8.411921321395138,0.0009409507938118645
18,5,3,0.02,uniform,8.409380273911149,8.40748866320075,8.413782816441996,0.0018536877117359793
18,5,3,0.03,uniform,8.40653505169754,8.401236436350935,8.409627538204049,0.0024524438278789203
18,5,3,0.04,uniform,8.40384489339873,8.396094139744248,8.413287513386523,0.005753265716683258
18,5,3,0.05,uniform,8.400573409063051,8.387711114454577,8.411644465001645,0.007254264348737396
18,5,3,0.060000000000000005,uniform,8.396878928011906,8.391506498586947,8.405080802117405,0.00478502551496467
18,5,3,0.06999999999999999,uniform,8.398996435530274,8.389122810002752,8.417775214851345,0.007909439686783641
18,5,3,0.08,uniform,8.392834732660294,8.379034137896063,8.405904007980151,0.00662112046469475
18,5,3,0.09,uniform,8.391884834120328,8.369070143008612,8.40445613215659,0.011367044350093534
18,5,3,0.09999999999999999,uniform,8.39121764348754,8.362612148749099,8.411898808588711,0.01363252310925314
18,5,3,0.11,uniform,8.394278756197938,8.369712987891408,8.418430826834637,0.014665897803121141
18,5,3,0.12,uniform,8.388171509064488,8.373540104227652,8.4029581065479,0.008236632927624998
18,5,3,0.13,uniform,8.385791281225147,8.36489086949027,8.40987432234371,0.015267480955134331
18,5,3,0.14,uniform,8.386652367316186,8.364564509238894,8.416285887305937,0.013183287464214481
18,5,3,0.15000000000000002,uniform,8.38045306035444,8.357189485649098,8.41162125642396,0.016199963218484794
18,5,3,0.16,uniform,8.378665060556505,8.35513123207251,8.405696548676895,0.01684365549298074
18,5,3,0.17,uniform,8.378173451053181,8.34205388246294,8.420658539603348,0.024603472857979126
18,5,3,0.18000000000000002,uniform,8.37406382021851,8.342451625743424,8.406642422244937,0.01958155242105424
18,5,3,0.19,uniform,8.374400118707504,8.348157362252017,8.40357661359562,0.01749915065258267
18,5,3,0.2,uniform,8.377598189581107,8.346337556378261,8.401826745590967,0.01518024189784839
18,5,3,0.21000000000000002,uniform,8.362005219954394,8.304374175443705,8.405208015948178,0.024409571145743995
18,5,3,0.22,uniform,8.37952019713521,8.342317478323785,8.416906786964537,0.02129806452857231
18,5,3,0.23,uniform,8.347339572700477,8.310195774517284,8.389865230395932,0.024937230210520255
18,5,3,0.24000000000000002,uniform,8.36329652495333,8.340807722268075,8.387868811688035,0.01574903751907212
18,5,3,0.25,uniform,8.370613380469946,8.323122546284834,8.418110735513206,0.031213010835860183
18,5,3,0.26,uniform,8.357806006516286,8.310492750680837,8.410485902375235,0.0278209801608964
18,5,3,0.27,uniform,8.351267121662435,8.300549311256454,8.416721370950674,0.029565057381020263
18,5,3,0.28,uniform,8.365598527783604,8.318144908888685,8.425139706015377,0.03044480006248591
18,5,3,0.29000000000000004,uniform,8.365846784700514,8.292105847890326,8.397444786191954,0.030878829065988503
18,5,3,0.3,uniform,8.333694904245219,8.290932671771495,8.38511299696916,0.03101648599127617
18,5,3,0.31,uniform,8.355249101467999,8.284845465283913,8.435117519815346,0.03866119572180441
18,5,3,0.32,uniform,8.342010702060282,8.26637181757478,8.400991587426361,0.04017979028399576
18,5,3,0.33,uniform,8.368663523552556,8.326375703183967,8.418040586723343,0.028440480585194466
18,5,3,0.34,uniform,8.340598502540434,8.26032000622154,8.383448465252274,0.03875118461017339
18,5,3,0.35000000000000003,uniform,8.357753254818887,8.267203662891815,8.421158167670566,0.04547546978794348
18,5,3,0.36000000000000004,uniform,8.339837657777629,8.277084408648776,8.412021882339124,0.03860559970854707
18,5,3,0.37,uniform,8.327739353140075,8.257140609581585,8.398783454590811,0.04138110628664359
18,5,3,0.38,uniform,8.319400224876354,8.240300331679146,8.376992437649793,0.03664839778899206
18,5,3,0.39,uniform,8.339779912286415,8.255081038327397,8.39298662956754,0.03809821027382949
18,5,3,0.4,uniform,8.346476532396839,8.259612063026985,8.408167894421055,0.04295968971832214
18,5,3,0.41000000000000003,uniform,8.315477576962934,8.260701511191836,8.38018285064721,0.03550215336342785
18,5,3,0.42000000000000004,uniform,8.321334942490243,8.272535469820205,8.353985673960098,0.02291861234355395
18,5,3,0.43,uniform,8.275160185487234,8.113016103256195,8.34721077744228,0.0659080167767585
18,5,3,0.44,uniform,8.307950516927324,8.192453131341022,8.407935566990725,0.06111594345733365
18,5,3,0.45,uniform,8.325351476275582,8.262653599622634,8.408492102102482,0.03868842899431646
18,5,3,0.46,uniform,8.337192047067836,8.284360225979494,8.439552446583642,0.04526974093344022
18,5,3,0.47000000000000003,uniform,8.34230494209925,8.221205375736854,8.40931896720344,0.05272104902165006
18,5,3,0.48000000000000004,uniform,8.345978006164161,8.293671849458692,8.445761841220609,0.05067559729078124
18,5,3,0.49,uniform,8.27534958488309,8.003925474971393,8.411215073412224,0.10819142646965826
18,5,3,0.0,nearst-neighbour,9.814814814814815,9.814814814814815,9.814814814814815,0.0
18,5,3,0.01,nearst-neighbour,9.617643974949681,9.580898573084399,9.649654185362968,0.023962199365668808
18,5,3,0.02,nearst-neighbour,9.453567198332943,9.372366027796309,9.49692570493637,0.0381246493365775
18,5,3,0.03,nearst-neighbour,9.28769616156637,9.152051014522247,9.390590417934936,0.09577097288343363
18,5,3,0.04,nearst-neighbour,9.175746545641108,8.9126711269635,9.266986989605025,0.09954238836453218
18,5,3,0.05,nearst-neighbour,9.035180240863344,8.797079447007773,9.185028263094447,0.12808508972932847
