V,D,EPR,perturbation_ratio,traffic,Phi_per_EP,min,max,std
36,5,3,0.0,uniform,6.948051948051951,6.948051948051951,6.948051948051951,0.0
36,5,3,0.01,uniform,6.933596144404129,6.930740888887637,6.937188022402744,0.0018412898061040892
36,5,3,0.02,uniform,6.919733763104597,6.910487202893817,6.930375409340421,0.0054345321581818744
36,5,3,0.03,uniform,6.9040690098776665,6.890525401565513,6.915468753246893,0.0081457180068861
36,5,3,0.04,uniform,6.891952025868027,6.884281291930036,6.90037040303326,0.004102379037210333
36,5,3,0.05,uniform,6.878885310770917,6.867222536459753,6.887932361342632,0.006052342285563853
36,5,3,0.060000000000000005,uniform,6.864576638922638,6.850604020309818,6.876028870389014,0.008588772475873752
36,5,3,0.06999999999999999,uniform,6.849159301026634,6.830545055904667,6.858218145485518,0.00900369216854177
36,5,3,0.08,uniform,6.844157354462221,6.795987978047403,6.8631881139251725,0.018559690708560412
36,5,3,0.09,uniform,6.824534398825259,6.793026241882704,6.847608622462159,0.017908421241475788
36,5,3,0.09999999999999999,uniform,6.807744653477306,6.7753640014792405,6.848421696734556,0.019047101060584024
36,5,3,0.11,uniform,6.792942808210614,6.771540496978527,6.831620067538443,0.016758737077079127
36,5,3,0.12,uniform,6.784795389639339,6.696174685463056,6.833243918399666,0.03542002647201168
36,5,3,0.13,uniform,6.7573968036210985,6.701576507976802,6.790265527665411,0.02612874759456336
36,5,3,0.14,uniform,6.73580307163576,6.685440966135068,6.787852229173804,0.025939131590172387
36,5,3,0.15000000000000002,uniform,6.736473986905494,6.679152578273963,6.796270147023908,0.03701837543230517
36,5,3,0.16,uniform,6.72173788634082,6.637193617037468,6.7648318292002365,0.03644931648101353
36,5,3,0.17,uniform,6.7262756877596335,6.675675923559453,6.762873416843424,0.029484938063798583
36,5,3,0.18000000000000002,uniform,6.682411245609485,6.6323755790052905,6.707902296871737,0.027437718772133045
36,5,3,0.19,uniform,6.680181701194272,6.586159816824342,6.727076494794483,0.04143857106103482
36,5,3,0.2,uniform,6.673923444342155,6.626897041800636,6.717035297990862,0.0251166365020421
36,5,3,0.21000000000000002,uniform,6.663670474834783,6.6042205150728694,6.70417654623428,0.032388251408374126
36,5,3,0.22,uniform,6.617305876513486,6.513874849567627,6.654250163031196,0.04355534733614737
36,5,3,0.23,uniform,6.637898392509186,6.58162701317065,6.670113242166331,0.024123719895071612
36,5,3,0.24000000000000002,uniform,6.599129910016188,6.53929028872297,6.664896650905461,0.03702681177982561
36,5,3,0.25,uniform,6.600978151795414,6.495172907282146,6.650183970583976,0.0441906601793679
36,5,3,0.26,uniform,6.579751317568132,6.504164803625537,6.670090376530269,0.06290528565846863
36,5,3,0.27,uniform,6.557016036427553,6.325741664008681,6.65476317705859,0.0927226092963177
36,5,3,0.28,uniform,6.589725153577848,6.400818330486266,6.644973448541906,0.06702832211075042
36,5,3,0.29000000000000004,uniform,6.549691359991937,6.4860002385777875,6.578963968519954,0.030957833757247092
36,5,3,0.3,uniform,6.539855395056546,6.504664063256684,6.617184452885873,0.029625970968270337
36,5,3,0.31,uniform,6.507113802428132,6.375289258482606,6.595398302528941,0.05796103781560287
36,5,3,0.32,uniform,6.525395332613937,6.425059679319709,6.588891515159481,0.05684422234940279
36,5,3,0.33,uniform,6.500946110392427,6.355658952149863,6.575598395613694,0.07530299276376903
36,5,3,0.34,uniform,6.467156720661701,6.406617036796408,6.506448181216751,0.03349335248267184
36,5,3,0.35000000000000003,uniform,6.437007423293624,6.282153892107364,6.558426743360407,0.07174654308880848
36,5,3,0.36000000000000004,uniform,6.4640281260451715,6.290933149957571,6.597907412026899,0.08511630551245228
36,5,3,0.37,uniform,6.46310303587281,6.363473738579298,6.575952844489341,0.05556655293220672
36,5,3,0.38,uniform,6.441181085089701,6.347451318057455,6.534705568313865,0.06070005759626766
36,5,3,0.39,uniform,6.4108169037932985,6.275230081028825,6.509254168611512,0.05917578408493761
36,5,3,0.4,uniform,6.412005417077571,6.268175862599623,6.4661453271367275,0.059134392401455016
36,5,3,0.41000000000000003,uniform,6.376865431349116,6.244004158054171,6.4910075322576395,0.07686306890968587
36,5,3,0.42000000000000004,uniform,6.326158560841893,6.196591653119639,6.4329268210708115,0.07375089986355989
36,5,3,0.43,uniform,6.358251019721068,6.2542309688526405,6.454894797801752,0.06394978599554532
36,5,3,0.44,uniform,6.33469544883756,6.170038946634962,6.422900680753429,0.07696838680252793
36,5,3,0.45,uniform,6.317221029042072,6.154662074328629,6.463886400173599,0.08502178822149928
36,5,3,0.46,uniform,6.320759778480976,6.180018095428251,6.442336034245879,0.08057398409203922
36,5,3,0.47000000000000003,uniform,6.324694367351294,6.162622214299099,6.483550133451566,0.09969267340708887
36,5,3,0.48000000000000004,uniform,6.328863684944089,6.193842514888608,6.45190903120266,0.07542339811178182
36,5,3,0.49,uniform,6.312824512210811,6.211216962013601,6.410933372649359,0.0544960739101007
36,5,3,0.0,nearst-neighbour,9.907407407407405,9.907407407407405,9.907407407407405,0.0
36,5,3,0.01,nearst-neighbour,9.882694807708928,9.8783318369986,9.886213074140345,0.0022845830697671697
36,5,3,0.02,nearst-neighbour,9.856570092510228,9.848148253111965,9.868526253137334,0.005551174609503812
36,5,3,0.03,nearst-neighbour,9.830341143973067,9.81030994909444,9.847245409656633,0.01184972095785514
36,5,3,0.04,nearst-neighbour,9.805661748913579,9.77219561456692,9.82243251715463,0.013206007445534088
36,5,3,0.05,nearst-neighbour,9.78284896562637,9.730685088770612,9.81879454336867,0.024512980467788343
36,5,3,0.060000000000000005,nearst-neighbour,9.746215090365787,9.724691897317912,9.774218259420731,0.014584245859726489
36,5,3,0.06999999999999999,nearst-neighbour,9.720686971900065,9.690303869634972,9.74555514897651,0.01800355428379285
36,5,3,0.08,nearst-neighbour,9.697242455996848,9.640686095509583,9.744263775378997,0.03024444792352397
36,5,3,0.09,nearst-neighbour,9.689430676533762,9.647077259231601,9.724455145740698,0.023049022125092643
36,5,3,0.09999999999999999,nearst-neighbour,9.64455019056809,9.566305963669855,9.723575532992411,0.04835806951446427
36,5,3,0.11,nearst-neighbour,9.622193405025339,9.542518304254642,9.680611214088879,0.04268167322007752
36,5,3,0.12,nearst-neighbour,9.60885008901485,9.558024561108404,9.675519367687626,0.04143498667110105
36,5,3,0.13,nearst-neighbour,9.563809724608905,9.489595476414438,9.616302993520248,0.038852532296837675
36,5,3,0.14,nearst-neighbour,9.555526181348185,9.485269749730866,9.655440016233031,0.0526656570819266
36,5,3,0.15000000000000002,nearst-neighbour,9.556645405385447,9.48540017894637,9.633872210084954,0.05058843014752349
36,5,3,0.16,nearst-neighbour,9.510382881727626,9.47616617800554,9.559639477407485,0.02763486498207603
36,5,3,0.17,nearst-neighbour,9.47258141906146,9.376592839134426,9.541760146640062,0.048445329207552124
36,5,3,0.18000000000000002,nearst-neighbour,9.439849752351805,9.351250537251621,9.51123675919207,0.047966768491621216
36,5,3,0.19,nearst-neighbour,9.449201742915037,9.33364379711468,9.519149354207352,0.06088864166167839
36,5,3,0.2,nearst-neighbour,9.394728687009735,9.266123297206555,9.475928944036086,0.0754711196715567
36,5,3,0.21000000000000002,nearst-neighbour,9.37569334725577,9.236556111796798,9.47703682212385,0.06251889343888145
36,5,3,0.22,nearst-neighbour,9.371577357732761,9.31901974720745,9.448127993297689,0.04113315076726122
36,5,3,0.23,nearst-neighbour,9.309569214198689,9.193548707716877,9.494031200196602,0.0841302883815961
36,5,3,0.24000000000000002,nearst-neighbour,9.317312821146684,9.170929618901392,9.407155540493507,0.06242141247868272
36,5,3,0.25,nearst-neighbour,9.246869605559466,9.106720228952751,9.380564165022971,0.07956042589350977
36,5,3,0.26,nearst-neighbour,9.216411260791173,9.094352689774475,9.36280062722787,0.09236164968332583
36,5,3,0.27,nearst-neighbour,9.242751819733723,9.078440350009304,9.34161372981375,0.08038672833703656
36,5,3,0.28,nearst-neighbour,9.252448722888145,9.109308029338495,9.42336162719687,0.08144450062075362
36,5,3,0.29000000000000004,nearst-neighbour,9.180363171152097,9.033943318388092,9.338093491075316,0.08938388231031073
36,5,3,0.3,nearst-neighbour,9.210613521827053,8.992127362035884,9.360986298466367,0.10011660060169997
36,5,3,0.31,nearst-neighbour,9.169795756083266,8.999699192699987,9.243989842436232,0.0731347418212211
36,5,3,0.32,nearst-neighbour,9.13030036624217,8.92539124385164,9.31159120697458,0.1151712187239775
36,5,3,0.33,nearst-neighbour,9.106722233451277,8.9542342661376,9.23905272023256,0.08369513735410851
36,5,3,0.34,nearst-neighbour,9.058684948169233,8.82102076569058,9.207749920581387,0.10484726504419081
36,5,3,0.35000000000000003,nearst-neighbour,9.058464519259969,8.873254228768351,9.20979005266963,0.09848717527180141
36,5,3,0.36000000000000004,nearst-neighbour,9.009880632464318,8.80348865703867,9.247044137198289,0.1359887774578428
36,5,3,0.37,nearst-neighbour,9.016200067303856,8.865672176052753,9.220013419867739,0.1034931819413543
36,5,3,0.38,nearst-neighbour,9.005204931964249,8.840017995027788,9.101217515225459,0.0720256916921408
36,5,3,0.39,nearst-neighbour,9.020172314578316,8.88133498366466,9.224282553735046,0.11957183528699922
36,5,3,0.4,nearst-neighbour,8.905146132754979,8.620746868817186,9.109645563006866,0.16747100309056515
36,5,3,0.41000000000000003,nearst-neighbour,8.934410597223524,8.809535242802827,9.059167252565283,0.0878757260260907
36,5,3,0.42000000000000004,nearst-neighbour,8.969790610146697,8.797417452703593,9.10222782650536,0.08889899857656984
36,5,3,0.43,nearst-neighbour,8.875564124309662,8.57527869413152,8.989764272865006,0.12127473832944577
36,5,3,0.44,nearst-neighbour,8.893816712914035,8.698907315580541,9.046773849584804,0.0890682336662517
36,5,3,0.45,nearst-neighbour,8.80943338172375,8.578226640630929,9.10650681584127,0.15333679639858766
36,5,3,0.46,nearst-neighbour,8.847171466835885,8.697083006492239,8.943144134864086,0.06927804433835995
36,5,3,0.47000000000000003,nearst-neighbour,8.8981474550795,8.794296255050934,9.001053190906902,0.061539946783319296
36,5,3,0.48000000000000004,nearst-neighbour,8.82530751078421,8.24528681791713,8.99731790667628,0.2066589796303259
36,5,3,0.49,nearst-neighbour,8.692078615973546,8.547064840112292,8.824271513415928,0.09702649088420315
36,5,3,0.0,shift_1,10.0,10.0,10.0,0.0
36,5,3,0.01,shift_1,9.972806887402275,9.967766333274078,9.976821147360742,0.003069184311838877
36,5,3,0.02,shift_1,9.9501134836087,9.939421762399215,9.962329821103513,0.007144669935872145
36,5,3,0.03,shift_1,9.920255478705094,9.905059440702416,9.93157055484756,0.008238419737551829
36,5,3,0.04,shift_1,9.895537241294297,9.872313330836917,9.91382564413507,0.012981687045724643
36,5,3,0.05,shift_1,9.872154424226604,9.839252647591033,9.895430705450966,0.01629717476250039
36,5,3,0.060000000000000005,shift_1,9.836219244362162,9.772617826249384,9.865751446174205,0.03042676989887011
36,5,3,0.06999999999999999,shift_1,9.815469304514638,9.756801496153066,9.859600784742437,0.03139615298191065
36,5,3,0.08,shift_1,9.800841331409698,9.782106863515732,9.829291281522307,0.01606454717321925
36,5,3,0.09,shift_1,9.746293019205137,9.649623587707142,9.819983102523295,0.05908801173983559
36,5,3,0.09999999999999999,shift_1,9.738354279623206,9.690702244704902,9.779175024222626,0.026824422562249883
36,5,3,0.11,shift_1,9.716427223857327,9.670374719423991,9.76108383589157,0.03252086331845901
36,5,3,0.12,shift_1,9.690186773804264,9.62554523371949,9.734164262916229,0.02934540083700783
36,5,3,0.13,shift_1,9.658085235911424,9.559266141963345,9.722154584537403,0.04411388314923885
36,5,3,0.14,shift_1,9.632667444840598,9.554649593249476,9.70551257329668,0.04667983288905695
36,5,3,0.15000000000000002,shift_1,9.634937628385128,9.537642035271483,9.697655698913755,0.04585693815141736
36,5,3,0.16,shift_1,9.581640532851639,9.491358808225625,9.639683987596808,0.040111046290715276
36,5,3,0.17,shift_1,9.561360363256771,9.29245610392919,9.642111998563946,0.09366902838433344
36,5,3,0.18000000000000002,shift_1,9.543019055147758,9.40123679282124,9.622820013588766,0.06666421170478323
36,5,3,0.19,shift_1,9.51144822871149,9.379663565303158,9.663022796567692,0.07655641018937412
36,5,3,0.2,shift_1,9.463715053263833,9.342179047649713,9.542158159005325,0.061049559278620665
36,5,3,0.21000000000000002,shift_1,9.486559315581037,9.358394119882126,9.595745006048041,0.08270594936900012
36,5,3,0.22,shift_1,9.469111709186164,9.360400169540108,9.56527988321662,0.05350292112473439
36,5,3,0.23,shift_1,9.429998399277832,9.257121157412183,9.501535775678303,0.07056431494190259
36,5,3,0.24000000000000002,shift_1,9.428977817640076,9.308952318369776,9.495620738773834,0.05555247111654366
36,5,3,0.25,shift_1,9.375213704399535,9.221941102875336,9.480298575883575,0.0928346095303252
36,5,3,0.26,shift_1,9.378388802468276,9.2977352372648,9.47995689309525,0.056485709930442426
36,5,3,0.27,shift_1,9.37066364789749,9.241967708092321,9.4894669219256,0.07124925604208919
36,5,3,0.28,shift_1,9.31373075001197,9.23433818581157,9.41456060981393,0.06103204262940708
36,5,3,0.29000000000000004,shift_1,9.317008495142815,9.260396792078195,9.367726754061174,0.04033853820763766
36,5,3,0.3,shift_1,9.281722048558702,9.180405141878227,9.365640152848025,0.05478256359739768
36,5,3,0.31,shift_1,9.184029311757516,8.870857358070039,9.447084440333386,0.1419746156250296
36,5,3,0.32,shift_1,9.21818165088094,9.142543820293184,9.301023955950063,0.051656312957318255
36,5,3,0.33,shift_1,9.183711982692483,9.031853160350385,9.38415898831853,0.10650511813085287
36,5,3,0.34,shift_1,9.128292805852826,8.856638996029623,9.249007629224,0.11032164698890964
36,5,3,0.35000000000000003,shift_1,9.170971741124225,8.964338446443502,9.336034518458323,0.11679462361290288
36,5,3,0.36000000000000004,shift_1,9.138161435311698,8.972323757058737,9.277261807337092,0.10258892017178059
36,5,3,0.37,shift_1,9.120804120879832,9.039193488020645,9.241827708016954,0.0633253795472637
36,5,3,0.38,shift_1,9.072500854424316,8.93174022051281,9.188364036020523,0.0946912607546784
36,5,3,0.39,shift_1,9.061490069526888,8.83695252348219,9.255063673697345,0.11184039871655234
36,5,3,0.4,shift_1,9.07497079794283,8.921906161249558,9.219321825320314,0.088892907358194
36,5,3,0.41000000000000003,shift_1,9.025023154825575,8.7591012979451,9.188777508279454,0.13399263917359183
36,5,3,0.42000000000000004,shift_1,9.023433944458905,8.800213852935237,9.243555343910655,0.14467547223791
36,5,3,0.43,shift_1,8.977676607285348,8.784613216625194,9.137255119539454,0.12260950126032005
36,5,3,0.44,shift_1,8.991695172321787,8.774440666047715,9.253882000357578,0.1613168106248365
36,5,3,0.45,shift_1,8.937800983968597,8.666879238478764,9.07495306778362,0.12037429919925338
36,5,3,0.46,shift_1,8.933446984307894,8.750853789285271,9.110119996204897,0.1111610149750277
36,5,3,0.47000000000000003,shift_1,8.89562292953084,8.378934992858504,9.100314840337594,0.20498090872538852
36,5,3,0.48000000000000004,shift_1,8.818907689655584,8.622447561161097,9.051764859946744,0.13476453255777654
36,5,3,0.49,shift_1,8.744707756384376,8.598262163315443,8.893002696457016,0.10478138997641304
36,5,3,0.0,shift_half,5.10392609699769,5.10392609699769,5.10392609699769,0.0
36,5,3,0.01,shift_half,5.0935764815592455,5.089645266973729,5.097688959190121,0.0023640680202794504
36,5,3,0.02,shift_half,5.084054577525865,5.080804858745861,5.090967044062826,0.0036006078551548792
36,5,3,0.03,shift_half,5.0736654236351075,5.062584805371722,5.079769971093541,0.0050508025441537005
36,5,3,0.04,shift_half,5.059798837728627,5.04073486115134,5.069783032989636,0.008835358356338231
36,5,3,0.05,shift_half,5.057354115650759,5.041173586585979,5.075157315859763,0.010552685236991707
36,5,3,0.060000000000000005,shift_half,5.037035805879773,5.001527035449819,5.059973317161049,0.016720606343440334
36,5,3,0.06999999999999999,shift_half,5.032797262893345,5.015778416265808,5.050394140359272,0.011852967372062104
36,5,3,0.08,shift_half,5.014959200227951,4.989302899012188,5.042185165605709,0.0158279202059414
36,5,3,0.09,shift_half,5.004957971258837,4.92600220692782,5.041991237998904,0.0325290897871295
36,5,3,0.09999999999999999,shift_half,4.995742756198304,4.945583120579816,5.028842778192027,0.024362586550409886
36,5,3,0.11,shift_half,4.963708836165561,4.880754777572042,5.012397093719739,0.038241378052596725
36,5,3,0.12,shift_half,4.968573056034575,4.915854943439137,5.003326563408452,0.022878515320522937
36,5,3,0.13,shift_half,4.964770950802908,4.903510814319791,5.008877710132242,0.030415016146497525
36,5,3,0.14,shift_half,4.949280061286828,4.913767635739719,4.9953618994490645,0.02630074083284748
36,5,3,0.15000000000000002,shift_half,4.926379440911076,4.82635500240447,4.987281560484571,0.05500763804055361
36,5,3,0.16,shift_half,4.944738943376744,4.86209918050243,4.997081432064306,0.037442597434529
36,5,3,0.17,shift_half,4.9376858334036555,4.876783259642242,4.99564212862628,0.042643578195134854
36,5,3,0.18000000000000002,shift_half,4.917622141414286,4.857598383700589,4.9553908698497935,0.031115581225572633
36,5,3,0.19,shift_half,4.899405953045248,4.839478412041051,4.953093794077386,0.03841794584859243
36,5,3,0.2,shift_half,4.924526700249303,4.874599086664433,4.9866123741358805,0.034865084887704574
36,5,3,0.21000000000000002,shift_half,4.891194786432538,4.792942948850172,4.968217930210225,0.05207674269472628
36,5,3,0.22,shift_half,4.860438161402376,4.8211740886905226,4.943954464302301,0.03687019260718404
36,5,3,0.23,shift_half,4.853277698281862,4.775471612670418,4.937626977105025,0.0472125221246752
36,5,3,0.24000000000000002,shift_half,4.863934726697899,4.765532348565021,4.957808924279836,0.047790704764090655
36,5,3,0.25,shift_half,4.855113078706305,4.772883207497763,4.900992852980496,0.03607373050623047
36,5,3,0.26,shift_half,4.847508815487012,4.779962931250242,4.900805048664519,0.04491138728934396
36,5,3,0.27,shift_half,4.816334714408542,4.709302143486299,4.897096573266282,0.05805244482592933
36,5,3,0.28,shift_half,4.822253993547216,4.733309525222615,4.927553739022664,0.05192614593820543
36,5,3,0.29000000000000004,shift_half,4.808107733300389,4.728965758024895,4.865259898371975,0.043924901128215475
36,5,3,0.3,shift_half,4.836920404544179,4.767275300387577,4.91416945022782,0.04459985791460832
36,5,3,0.31,shift_half,4.821908481502602,4.756329603808663,4.877889271525582,0.04001344351826607
36,5,3,0.32,shift_half,4.781881838047327,4.705546808760725,4.828302629852403,0.037872925686615766
36,5,3,0.33,shift_half,4.726726529702361,4.6578590775584,4.835949829428868,0.04994548856166103
36,5,3,0.34,shift_half,4.7543350686227,4.601102195972063,4.869424623232619,0.0781122345192456
36,5,3,0.35000000000000003,shift_half,4.7264484531429325,4.661169917770325,4.8273454640263145,0.0500325343211805
36,5,3,0.36000000000000004,shift_half,4.7555413519913525,4.624766412532585,4.863597541130362,0.07370328047193594
36,5,3,0.37,shift_half,4.746820288704517,4.693214006704859,4.8414334495516975,0.04719104907272756
