V,D,EPR,perturbation_ratio,traffic,Phi_per_EP,min,max,std
18,5,3,0.0,uniform,8.153846153846153,8.153846153846153,8.153846153846153,0.0
18,5,3,0.01,uniform,8.130741695632752,8.11996718868044,8.136913799178906,0.004726853712210459
18,5,3,0.02,uniform,8.105960192928325,8.096439707952541,8.120147311447907,0.006308883187546523
18,5,3,0.03,uniform,8.07842170457106,8.063457985544973,8.088059766474666,0.008800484634573606
18,5,3,0.04,uniform,8.061332717709245,8.031821074381687,8.083955787771101,0.016545869368607694
18,5,3,0.05,uniform,8.035462182829054,8.009397545072348,8.058701046723595,0.013776584446296605
18,5,3,0.060000000000000005,uniform,8.023731224776135,8.007040044788702,8.0535697564947,0.013680124438367877
18,5,3,0.06999999999999999,uniform,8.005026929475893,7.951306715474929,8.02906447744402,0.02771978802595349
18,5,3,0.08,uniform,7.967525975152006,7.883859968409082,8.028564972885532,0.03965378677812315
18,5,3,0.09,uniform,7.954958684041647,7.875576391594535,7.993621448104312,0.03283592178109965
18,5,3,0.09999999999999999,uniform,7.939104108032694,7.850904231033078,8.010752951731444,0.052110741480696825
18,5,3,0.11,uniform,7.919683073872882,7.858846003265847,7.964463630340095,0.03372410499693755
18,5,3,0.12,uniform,7.895888224793204,7.848915105613735,7.93426291720505,0.0255350708395311
18,5,3,0.13,uniform,7.868554482718649,7.790315196471443,7.919164140201173,0.034187673971580367
18,5,3,0.14,uniform,7.8566936950253705,7.799724363251211,7.972403912595491,0.05320904054549832
18,5,3,0.15000000000000002,uniform,7.847406632069547,7.806075727562116,7.911294689123762,0.031481141875494695
18,5,3,0.16,uniform,7.7883615248455484,7.695347025973624,7.868643171959387,0.05429599107280701
18,5,3,0.17,uniform,7.770204889829091,7.592727806596876,7.8641899619947555,0.08811124325378261
18,5,3,0.18000000000000002,uniform,7.716856988151468,7.622211796418808,7.7968678574889525,0.055707965443551194
18,5,3,0.19,uniform,7.753226142581925,7.637306248606274,7.854120736660442,0.06372033996405835
18,5,3,0.2,uniform,7.750353303471272,7.636578905647281,7.831018832427412,0.060828126424738664
18,5,3,0.21000000000000002,uniform,7.7591307914068395,7.624252868685266,7.8759109868766535,0.07219921024073854
18,5,3,0.22,uniform,7.718114179881529,7.610020849887964,7.786612400045194,0.05546858487794241
18,5,3,0.23,uniform,7.660341684277292,7.530403332328423,7.734336570483016,0.056876101534978546
18,5,3,0.24000000000000002,uniform,7.657625124534498,7.565174280142986,7.752416212942898,0.06828303547754294
18,5,3,0.25,uniform,7.65835268930555,7.56850034472151,7.741921969222228,0.0597576197962872
18,5,3,0.26,uniform,7.636205360937611,7.524464977154759,7.744563562497849,0.06318499826374219
18,5,3,0.27,uniform,7.531007021609151,7.393536740372501,7.732645026173252,0.10358016512435102
18,5,3,0.28,uniform,7.586034577472003,7.325898696320757,7.766292410241386,0.1209886541538811
18,5,3,0.29000000000000004,uniform,7.584163394575157,7.434237736760793,7.744355167588149,0.0983723474692165
18,5,3,0.3,uniform,7.4764709151059945,7.3097896927542445,7.623438758683795,0.10424123282682396
18,5,3,0.31,uniform,7.4881878367499795,7.311163598760659,7.619544993180166,0.08637528130359118
18,5,3,0.32,uniform,7.390840111662655,7.149369219746384,7.565254658481539,0.12422553537280277
18,5,3,0.33,uniform,7.4298198707604115,7.132279572122166,7.647431649264753,0.1464838394636959
18,5,3,0.34,uniform,7.453370134628981,7.313891224782004,7.6615448263091235,0.10725714981032022
18,5,3,0.35000000000000003,uniform,7.407900470162095,7.269805585744944,7.530453050967377,0.07124426015785915
18,5,3,0.36000000000000004,uniform,7.379757542465481,7.207389621058694,7.545400182887817,0.1074280586818212
18,5,3,0.37,uniform,7.412489098527734,7.060713780067698,7.573535291366513,0.14265788287787898
18,5,3,0.38,uniform,7.363328071449246,7.232922885701914,7.4995549258977325,0.09023936203055008
18,5,3,0.39,uniform,7.342465652147785,7.159460186978373,7.5771942772259,0.12517393614569905
18,5,3,0.4,uniform,7.319122015162468,6.896756664487463,7.46639263561266,0.16052751449217703
18,5,3,0.41000000000000003,uniform,7.318608783072131,7.100464265276175,7.5182088138542085,0.1534810554394745
18,5,3,0.42000000000000004,uniform,7.329754311541036,7.055375673307166,7.599899306003909,0.15859369414275656
18,5,3,0.43,uniform,7.241107408765394,6.914969971471419,7.3915945992380445,0.14473243363190288
18,5,3,0.44,uniform,7.316371127199237,7.042598970951617,7.460515783091814,0.12119596257020193
18,5,3,0.45,uniform,7.279334993975756,7.0742007321387135,7.57500243344249,0.1564066443735798
18,5,3,0.46,uniform,7.27706652443905,7.120268262310999,7.606450759342481,0.1313672333541442
18,5,3,0.47000000000000003,uniform,7.216641111896637,6.996992716891429,7.505090910460381,0.13920403187943287
18,5,3,0.48000000000000004,uniform,7.190803528361833,7.023628405822051,7.367175522370677,0.11426961354723081
18,5,3,0.49,uniform,7.119045953616049,6.816463351738407,7.3377456917499435,0.14195472952421093
18,5,3,0.0,nearst-neighbour,9.814814814814815,9.814814814814815,9.814814814814815,0.0
18,5,3,0.01,nearst-neighbour,9.782122541908395,9.762446856120924,9.788836456961622,0.007155229322648808
18,5,3,0.02,nearst-neighbour,9.748144290840859,9.735356576707849,9.764581285511063,0.008166257039939687
18,5,3,0.03,nearst-neighbour,9.718083503932778,9.689337222852684,9.736826387444824,0.013279066385368686
18,5,3,0.04,nearst-neighbour,9.685009287977827,9.63312844983188,9.718007824399065,0.020444938708284666
18,5,3,0.05,nearst-neighbour,9.669474766058087,9.627162038829212,9.701560115875004,0.023086763435041093
18,5,3,0.060000000000000005,nearst-neighbour,9.628989373796738,9.571635106960445,9.657984713527375,0.024268905377895073
18,5,3,0.06999999999999999,nearst-neighbour,9.593699885111072,9.506644222780611,9.650355172550963,0.045261876674399557
18,5,3,0.08,nearst-neighbour,9.577501735301908,9.525015055867707,9.635604345617924,0.03341845270167051
18,5,3,0.09,nearst-neighbour,9.531353430522493,9.461341617165344,9.619218183876649,0.05284382180265804
18,5,3,0.09999999999999999,nearst-neighbour,9.487852959524306,9.405908237443132,9.588535385036929,0.05792603940354749
18,5,3,0.11,nearst-neighbour,9.440842104714546,9.334669539733433,9.527910310834837,0.06000826341835848
18,5,3,0.12,nearst-neighbour,9.440835916268831,9.310124724068105,9.481471245708084,0.048410707901628866
18,5,3,0.13,nearst-neighbour,9.414924496607249,9.32654248166082,9.507815462452179,0.046030876897079034
