V,D,EPR,perturbation_ratio,traffic,Phi_per_EP,min,max,std
36,5,3,0.0,uniform,5.150421179302042,5.150421179302042,5.150421179302042,0.0
36,5,3,0.01,uniform,5.144863045921988,5.142027374225361,5.146720253554746,0.001412212569139533
36,5,3,0.02,uniform,5.139309944961934,5.126607637723636,5.14503972130468,0.004907116204729008
36,5,3,0.03,uniform,5.133422150693498,5.125593246244633,5.139624202508155,0.004142879946317361
36,5,3,0.04,uniform,5.1288490944053375,5.122859695349645,5.135521798552755,0.004168971343671627
36,5,3,0.05,uniform,5.122162139557677,5.106647290155661,5.132756562847453,0.0088720524328313
36,5,3,0.060000000000000005,uniform,5.117206535443038,5.095852556857489,5.135984736209241,0.012188291687143122
36,5,3,0.06999999999999999,uniform,5.116462076720774,5.098174393035957,5.1341430142905455,0.011240938062169789
36,5,3,0.08,uniform,5.105944651471146,5.083534113100585,5.122173627218122,0.01182032214778765
36,5,3,0.09,uniform,5.101036010493928,5.081586760752134,5.1113246876419325,0.00986290002682694
36,5,3,0.09999999999999999,uniform,5.09176995461063,5.059017359395812,5.110502995387668,0.016499094440775575
36,5,3,0.11,uniform,5.081868255096815,5.064589310336483,5.102285279129176,0.010698159863796994
36,5,3,0.12,uniform,5.081108936376774,5.047392264635722,5.109457504542221,0.02149191548734803
36,5,3,0.13,uniform,5.066971191517376,5.025688905069907,5.1076467076852525,0.025689230931029716
36,5,3,0.14,uniform,5.0662818407310795,5.039492661101914,5.088809843806126,0.013794955710950714
36,5,3,0.15000000000000002,uniform,5.073248381810158,5.046638112414804,5.092083346120319,0.013626123207922256
36,5,3,0.16,uniform,5.062793621069451,5.013756759637992,5.100784781887911,0.02185717156135739
36,5,3,0.17,uniform,5.0581015285261195,5.034387055158718,5.090108196962871,0.017808301541471235
36,5,3,0.18000000000000002,uniform,5.03038523560333,4.94687351173544,5.078862954526871,0.03537897122732687
36,5,3,0.19,uniform,5.046488639526771,5.00937870575065,5.1076329057447065,0.029646143487873994
36,5,3,0.2,uniform,5.027766173264425,4.997372714256379,5.07201249300859,0.023590943203738418
36,5,3,0.21000000000000002,uniform,5.025236509540823,4.999338955338042,5.0693432439122965,0.02298471369735951
36,5,3,0.22,uniform,5.0131443382058904,4.968614671423847,5.041185757105587,0.02430464720728722
36,5,3,0.23,uniform,5.021197723236056,4.963940093297839,5.05552900467185,0.029981517041058683
36,5,3,0.24000000000000002,uniform,5.000466365268471,4.913315210161859,5.054761862155162,0.03728850520812366
