V,D,EPR,perturbation_ratio,traffic,Phi_per_EP,min,max,std
36,5,3,0.0,uniform,6.599209790883685,6.599209790883685,6.599209790883685,0.0
36,5,3,0.01,uniform,6.592344924223157,6.589335058842449,6.59563576706036,0.0019872628020459727
36,5,3,0.02,uniform,6.584101832001027,6.576133557473219,6.589942922827264,0.004122003577272977
36,5,3,0.03,uniform,6.574347659500032,6.562835125026744,6.586164748790875,0.006936179616406592
36,5,3,0.04,uniform,6.5585057476239,6.541585333779631,6.576518258831093,0.008909255422756427
36,5,3,0.05,uniform,6.552402947592436,6.544938411004967,6.560695942888856,0.005341877200573012
36,5,3,0.060000000000000005,uniform,6.5399658238045335,6.525879670807746,6.557735473120938,0.01077341082823734
36,5,3,0.06999999999999999,uniform,6.534649125519083,6.512944447056883,6.550671352190204,0.01289783688548172
36,5,3,0.08,uniform,6.528003512485472,6.5107959428800575,6.554718552292368,0.013637025350142246
36,5,3,0.09,uniform,6.511902887045946,6.489179961059301,6.536464124277938,0.012883207405268488
36,5,3,0.09999999999999999,uniform,6.502511099365866,6.47549806139357,6.541652090660328,0.021286575412261092
36,5,3,0.11,uniform,6.493099766202131,6.4471254194800265,6.5255154713585,0.025788930697720296
36,5,3,0.12,uniform,6.471923265657487,6.401870000375502,6.520492197173053,0.03435620545635988
36,5,3,0.13,uniform,6.4690196669779025,6.428000550625029,6.502204790912418,0.02355783369663125
36,5,3,0.14,uniform,6.440988751603288,6.361292988884183,6.493480299283608,0.03826740628965558
36,5,3,0.15000000000000002,uniform,6.453935258976424,6.404369956955476,6.510635142687928,0.027543662341541323
36,5,3,0.16,uniform,6.438094879722003,6.385776741288161,6.464946717564863,0.027291508038070282
36,5,3,0.17,uniform,6.436009749833358,6.390950639366442,6.469052566086845,0.023070143527967973
36,5,3,0.18000000000000002,uniform,6.401513509841746,6.250237151514276,6.455418463872799,0.058913851827949254
36,5,3,0.19,uniform,6.432522872785664,6.394119794865161,6.483896504542684,0.023203418872063255
36,5,3,0.2,uniform,6.412593824437219,6.342584358528444,6.435327694692597,0.025759348628814373
36,5,3,0.21000000000000002,uniform,6.3868623763922105,6.302391208352202,6.433910819486267,0.03647428616583777
36,5,3,0.22,uniform,6.383427589006536,6.305413795871204,6.437525895235415,0.038249158692824824
