V,D,EPR,perturbation_ratio,traffic,Phi_per_EP,min,max,std
36,5,3,0.0,uniform,6.59920979088368,6.59920979088368,6.59920979088368,0.0
36,5,3,0.01,uniform,6.592336963748427,6.585515327760164,6.597273583352332,0.0027777370052663643
36,5,3,0.02,uniform,6.58405865746501,6.577533503441468,6.5894151183964125,0.0033037657170778634
36,5,3,0.03,uniform,6.5774439397277265,6.566335023223205,6.581768348696913,0.004574047655323167
36,5,3,0.04,uniform,6.5645682133225405,6.546262910459326,6.574183965067148,0.007366847475875996
36,5,3,0.05,uniform,6.559957821898631,6.546727610252291,6.574123098986881,0.00812032831867998
36,5,3,0.060000000000000005,uniform,6.544932237972594,6.533905148898691,6.56405941668883,0.008460215832764512
36,5,3,0.06999999999999999,uniform,6.540805267305241,6.525865015457056,6.555073287729323,0.00873553355916196
36,5,3,0.08,uniform,6.525518631004191,6.492470881777051,6.550590695147177,0.015169780665384802
36,5,3,0.09,uniform,6.517264252567204,6.489215939935811,6.540083771787472,0.014461567658749584
36,5,3,0.09999999999999999,uniform,6.502103487755484,6.47389176783375,6.5285259838016945,0.013148268369651687
36,5,3,0.11,uniform,6.503254624469136,6.472525528772792,6.547154207099782,0.020834292965195723
36,5,3,0.12,uniform,6.485992255466262,6.465196816886412,6.519588756547676,0.016241472420159494
36,5,3,0.13,uniform,6.483684444720642,6.438520556515775,6.520137609394277,0.025332763340758215
36,5,3,0.14,uniform,6.4801577209374175,6.441664010652748,6.504802846649667,0.015290559879185013
36,5,3,0.15000000000000002,uniform,6.470598541934139,6.4433838250079205,6.496786032466942,0.019811176021115682
36,5,3,0.16,uniform,6.459269752779617,6.421937212114182,6.4770884044916714,0.01593916287131908
36,5,3,0.17,uniform,6.452190265889134,6.42348516423342,6.481278137199392,0.017707177303651806
36,5,3,0.18000000000000002,uniform,6.438913759144749,6.400906925730259,6.47120559065937,0.020160475078578738
36,5,3,0.19,uniform,6.434246553616619,6.40045503492276,6.464306235944982,0.02218932732201765
36,5,3,0.2,uniform,6.427061952098444,6.393486556822022,6.476683033816533,0.025114491458226383
36,5,3,0.21000000000000002,uniform,6.3931424633106175,6.279573644704213,6.462253274671071,0.04980628272910361
36,5,3,0.22,uniform,6.401433246189285,6.34825774516812,6.476499940716206,0.033791976989725324
36,5,3,0.23,uniform,6.386607613215681,6.360118997201602,6.4233825400344005,0.02014293775898749
36,5,3,0.24000000000000002,uniform,6.369270495723191,6.287475404609107,6.420410429785357,0.04464948423363259
36,5,3,0.25,uniform,6.378104083412881,6.256163002953569,6.4197299733883995,0.05171816757938432
36,5,3,0.26,uniform,6.349564572086226,6.216808363335252,6.426528372012213,0.058164471803470084
36,5,3,0.27,uniform,6.3420972840557965,6.284680547638364,6.394058310863365,0.03650578981536456
36,5,3,0.28,uniform,6.355535762931018,6.2984285607487775,6.414928389850652,0.04000586905871925
36,5,3,0.29000000000000004,uniform,6.350549638622613,6.238133576078098,6.4376356598283815,0.06059144049602697
36,5,3,0.3,uniform,6.321271645356863,6.236812835823271,6.402954469097029,0.04748857508515783
36,5,3,0.31,uniform,6.317749908427367,6.234312461932893,6.413645864987318,0.05392716311674239
36,5,3,0.32,uniform,6.328689568866787,6.267675148196007,6.410678373980959,0.048220993868164266
36,5,3,0.33,uniform,6.283290124585112,6.209278580171723,6.3341029452752275,0.04508433924227614
36,5,3,0.34,uniform,6.295706504429231,6.229329675814595,6.3526050380956764,0.03634637748396682
