V,D,EPR,perturbation_ratio,traffic,Phi_per_EP,min,max,std
13,4,2,0.0,uniform,9.685230024213077,9.685230024213077,9.685230024213077,0.0
13,4,2,0.01,uniform,9.678163301260494,9.666980585067977,9.695358435592276,0.008245474607119597
13,4,2,0.02,uniform,9.65772347948087,9.636794215875858,9.67852592978424,0.011588964814997089
13,4,2,0.03,uniform,9.637463438506874,9.57548511063998,9.682882035640189,0.02985742611715089
13,4,2,0.04,uniform,9.621623079645827,9.595675291307257,9.6690156791257,0.022024560741080782
13,4,2,0.05,uniform,9.571531300750584,9.487562389654267,9.619691681226088,0.036311412176502245
13,4,2,0.060000000000000005,uniform,9.562517893640427,9.465844539263015,9.63545673657783,0.05014030709246072
13,4,2,0.06999999999999999,uniform,9.538309511289656,9.48427852824622,9.577951292054161,0.027017749235855183
13,4,2,0.08,uniform,9.500184821633626,9.41563730571428,9.562908245108192,0.03721597978449506
13,4,2,0.09,uniform,9.513688098791153,9.401532235442604,9.595460603819046,0.06414965939081775
13,4,2,0.09999999999999999,uniform,9.471900864828037,9.407154957684632,9.608865212094333,0.06127761710657176
13,4,2,0.11,uniform,9.430897580029617,9.315269467913891,9.529230963215907,0.07216917744803945
13,4,2,0.12,uniform,9.417268633861088,9.284291835275686,9.577041395566527,0.08780914450006126
13,4,2,0.13,uniform,9.381982332710347,9.197130015061003,9.514502103538526,0.08103055019660457
13,4,2,0.14,uniform,9.326897963467855,9.261800270942825,9.400208732926508,0.046503986582162676
13,4,2,0.15000000000000002,uniform,9.338725047229895,9.079670871624197,9.527178634405713,0.11179503288780285
13,4,2,0.16,uniform,9.320856411543812,9.215949902942047,9.43360551033344,0.0722179738349799
13,4,2,0.17,uniform,9.299862214248705,9.129906835757751,9.385482543663759,0.08687202772551575
13,4,2,0.18000000000000002,uniform,9.306944589451316,9.17521491923229,9.44311315517178,0.08016041721194996
13,4,2,0.19,uniform,9.208465389475986,8.984571442282872,9.375424167738815,0.11359778845745626
13,4,2,0.2,uniform,9.197518645026456,8.99547561190275,9.339483660608103,0.10044461995333558
13,4,2,0.21000000000000002,uniform,9.134209117162001,8.806279937354576,9.313583125711515,0.13646014385642835
13,4,2,0.22,uniform,9.087380171926855,8.859606046499447,9.28738396074468,0.12706220866958257
13,4,2,0.23,uniform,9.048806121980911,8.782214574388098,9.362034132975744,0.18475009001052017
13,4,2,0.24000000000000002,uniform,8.99840371821623,8.812831325273653,9.17616922254814,0.11880314844437503
13,4,2,0.25,uniform,8.976571807909316,8.72522348980495,9.113752340529897,0.11840872437857543
13,4,2,0.26,uniform,8.886615326548402,8.60792369524733,9.145398643007834,0.17419102779715404
13,4,2,0.27,uniform,8.92300364775228,8.772543682115316,9.101274679882287,0.10223773001256263
13,4,2,0.28,uniform,8.88208269032763,8.547070187614484,9.084932185931784,0.1484293715153882
13,4,2,0.29000000000000004,uniform,8.776706557574759,8.409832919056607,8.981289853940572,0.1675917523975305
13,4,2,0.3,uniform,8.86067243373056,8.574697348011776,9.095205387316387,0.1568925208987974
13,4,2,0.31,uniform,8.771412975002658,8.450948816764397,9.133395506052308,0.2342842019514847
13,4,2,0.32,uniform,8.711141053006186,8.313279356395912,9.058292517932722,0.22259509370525835
13,4,2,0.33,uniform,8.72814800838417,8.574022757010706,8.973988978047554,0.14282986128870448
13,4,2,0.34,uniform,8.712091645597498,8.358317252105216,9.00671854790084,0.17725358821449788
13,4,2,0.35000000000000003,uniform,8.667917131896536,8.235497754518764,9.112637959594755,0.2297782023611537
13,4,2,0.36000000000000004,uniform,8.651465275572315,8.449769501913524,8.993329931934209,0.1396502665758114
13,4,2,0.37,uniform,8.599277516853656,8.15023086347975,8.996413864974974,0.3051244524797041
13,4,2,0.38,uniform,8.477651680578646,7.9211876251799715,8.882702153917736,0.28011567241252405
13,4,2,0.39,uniform,8.462911084845798,7.571953235955732,8.772013008626702,0.3601651796380398
13,4,2,0.4,uniform,8.5235323017253,7.993937412196176,8.804275355227551,0.24499167108477327
13,4,2,0.41000000000000003,uniform,8.490351680835934,8.246695054648052,8.92933821652867,0.202227246280341
13,4,2,0.42000000000000004,uniform,8.483144019788062,8.279072175933688,8.72366147601036,0.14212797901510538
13,4,2,0.43,uniform,8.284903722135232,7.835991652980827,8.598672685293936,0.27292881236299427
13,4,2,0.44,uniform,8.314772898853715,7.760306321525151,8.535670639413734,0.22468019791324953
13,4,2,0.45,uniform,8.47963973378327,8.245598779164101,8.707899636115153,0.1771030094081891
13,4,2,0.46,uniform,8.293356124871146,7.9050426350242695,8.6864362267854,0.23079062794738747
13,4,2,0.47000000000000003,uniform,8.276875602167298,8.033010435289643,8.72416151355771,0.21181516911685314
13,4,2,0.48000000000000004,uniform,8.170863635086796,7.581037038553675,8.578025553338223,0.27946367022240975
13,4,2,0.49,uniform,8.21503975621286,7.965832699738385,8.44616521618281,0.1685798500524275
13,4,2,0.0,nearst-neighbour,9.615384615384615,9.615384615384615,9.615384615384615,0.0
13,4,2,0.01,nearst-neighbour,9.575073013580536,9.560624192955192,9.585126741264952,0.008015001323405673
13,4,2,0.02,nearst-neighbour,9.544002020280475,9.525291837332265,9.560375890160227,0.01117142470840833
13,4,2,0.03,nearst-neighbour,9.513872692850242,9.482768067657505,9.539537174066904,0.016899453747708664
13,4,2,0.04,nearst-neighbour,9.467193833303353,9.408133822417442,9.511474772244075,0.03171677819939169
13,4,2,0.05,nearst-neighbour,9.43976881458295,9.381398357175152,9.477973579299483,0.028398834721465743
13,4,2,0.060000000000000005,nearst-neighbour,9.37895460046658,9.337781625934726,9.465302725794487,0.03634964428960117
13,4,2,0.06999999999999999,nearst-neighbour,9.312322242833934,9.151080309151137,9.437231151069252,0.07588564726456407
13,4,2,0.08,nearst-neighbour,9.29365053974351,9.206321918963987,9.360522516244837,0.046490188004221014
13,4,2,0.09,nearst-neighbour,9.25710008163111,9.158600351799716,9.3033262880163,0.039386018081713284
13,4,2,0.09999999999999999,nearst-neighbour,9.264416067147941,9.1523931763941,9.36767899804418,0.06875180372168686
13,4,2,0.11,nearst-neighbour,9.219364317917025,9.166974157796757,9.28409900725175,0.036573224791595506
13,4,2,0.12,nearst-neighbour,9.16218307829924,9.00552515871252,9.318770193103521,0.10737514907189961
