V,D,EPR,perturbation_ratio,traffic,Phi_per_EP,min,max,std
18,5,3,0.0,uniform,7.835527835527837,7.835527835527837,7.835527835527837,0.0
18,5,3,0.01,uniform,7.832784568480956,7.822982938057033,7.840013652164935,0.005443314910556217
18,5,3,0.02,uniform,7.823313367300743,7.813693573274343,7.83494235199622,0.006224458919136071
18,5,3,0.03,uniform,7.813486401374677,7.804173638289154,7.824048548096016,0.006395739058492948
18,5,3,0.04,uniform,7.796312785011781,7.777388704914222,7.81550026449882,0.010717098616941442
18,5,3,0.05,uniform,7.773169105821042,7.749275977235994,7.794070706903496,0.014341168683115137
18,5,3,0.060000000000000005,uniform,7.767826276513174,7.744830951070451,7.79054970169802,0.01260904509664873
18,5,3,0.06999999999999999,uniform,7.7552439543890275,7.713417773365258,7.77931395112332,0.022376469299235046
18,5,3,0.08,uniform,7.757161081571771,7.73872387275081,7.780413429471371,0.014317300154392532
18,5,3,0.09,uniform,7.722119234111325,7.656184317572514,7.7601772091755175,0.03241449184914588
18,5,3,0.09999999999999999,uniform,7.6990314802949245,7.656769270527787,7.781857854658852,0.037643374873612453
18,5,3,0.11,uniform,7.680226972299662,7.579458139352421,7.751706606464075,0.04651751080394689
18,5,3,0.12,uniform,7.69458728035428,7.607211978725326,7.787019746099078,0.0510870245950105
18,5,3,0.13,uniform,7.665771482597253,7.597419961976085,7.718818434839047,0.04347419948639166
18,5,3,0.14,uniform,7.659663637444564,7.6063198039053805,7.705680255556879,0.027843048784998114
18,5,3,0.15000000000000002,uniform,7.657091356184251,7.556717996229274,7.711234478972985,0.04577062261387577
18,5,3,0.16,uniform,7.625767395754808,7.526909288448646,7.681524354559576,0.043453892559091205
18,5,3,0.17,uniform,7.614405328605488,7.48641202676717,7.6977388378819525,0.07561098732790975
18,5,3,0.18000000000000002,uniform,7.58457123794218,7.533575903929058,7.638095831511766,0.03487057614830648
18,5,3,0.19,uniform,7.58351647764958,7.502485141185217,7.675038600014831,0.04787992470375399
18,5,3,0.2,uniform,7.567119365805493,7.411354785051287,7.649723060900194,0.06579198430247789
18,5,3,0.21000000000000002,uniform,7.603352759110092,7.4858258283000545,7.6804951965936725,0.060048159304384945
18,5,3,0.22,uniform,7.58305783450011,7.358488857595859,7.686500217361572,0.08803096705056128
18,5,3,0.23,uniform,7.480241131574924,7.359454369615868,7.598593691812299,0.07961740300190795
18,5,3,0.24000000000000002,uniform,7.543110561591492,7.455433970338162,7.661764878727551,0.056180867793228936
18,5,3,0.25,uniform,7.538015475554356,7.403147443254489,7.666113285737953,0.08337267439402181
18,5,3,0.26,uniform,7.499973749744401,7.299904311591934,7.623460753616274,0.09887200065433707
18,5,3,0.27,uniform,7.4976269508684865,7.417285458407981,7.5997370601972465,0.054129745620360284
18,5,3,0.28,uniform,7.459662788903998,7.354260339596197,7.55958723894381,0.06510331164619726
18,5,3,0.29000000000000004,uniform,7.478005940620578,7.352577044117473,7.606437329375325,0.08587500715654336
18,5,3,0.3,uniform,7.417845158401261,7.332682014325956,7.535865729677051,0.07064234715464436
18,5,3,0.31,uniform,7.423453131344604,7.326429678304509,7.55364767657892,0.08255632121096607
18,5,3,0.32,uniform,7.40574976892623,7.272816271945107,7.534000895208633,0.0886647667613246
18,5,3,0.33,uniform,7.463889578610963,7.331771115909091,7.6204598273665285,0.07764716487690751
18,5,3,0.34,uniform,7.408233529997451,7.212267946342845,7.517309214349517,0.08854656252290458
18,5,3,0.35000000000000003,uniform,7.379467652950059,7.238538147628613,7.5089152704607125,0.08007531844406791
18,5,3,0.36000000000000004,uniform,7.390837351344811,7.239665193122015,7.5487244813324175,0.09393080807855349
18,5,3,0.37,uniform,7.3804340706421545,7.120869425847579,7.5318943580986115,0.10721059733974408
18,5,3,0.38,uniform,7.3468335589667175,7.167829544850023,7.545245574434871,0.11266115437244122
18,5,3,0.39,uniform,7.246311200286314,6.971064296706206,7.436526115434111,0.1375895114446211
18,5,3,0.4,uniform,7.343680536848238,7.005079120222381,7.470539532657146,0.1271959775974751
18,5,3,0.41000000000000003,uniform,7.242930563982372,7.039979154178377,7.385094227747525,0.10368587328929382
18,5,3,0.42000000000000004,uniform,7.245920136357505,7.03752520887225,7.4830161689955546,0.13128409670236504
18,5,3,0.43,uniform,7.2699014986124055,7.024870703925736,7.445902996481305,0.11179640127189203
18,5,3,0.44,uniform,7.297399742060175,7.141018463026881,7.5376309229837215,0.1293639941689247
18,5,3,0.45,uniform,7.265193294669499,7.131474912920944,7.370950444714001,0.07944150685500868
18,5,3,0.46,uniform,7.261703369144652,6.94245995960992,7.42440617009666,0.12087811141010071
18,5,3,0.47000000000000003,uniform,7.222595685554869,7.00731616373754,7.402711405776772,0.13593605768362718
18,5,3,0.48000000000000004,uniform,7.25601175080445,7.1293416396985965,7.436053033695579,0.08562482074830821
18,5,3,0.49,uniform,7.292928509763387,6.958334257664901,7.464043277700598,0.13448022862811315
18,5,3,0.0,nearst-neighbour,9.814814814814815,9.814814814814815,9.814814814814815,0.0
18,5,3,0.01,nearst-neighbour,9.78111864507907,9.771912402245952,9.788704305894852,0.005807886622645888
18,5,3,0.02,nearst-neighbour,9.749765233829526,9.73432883672768,9.75763260128032,0.007452752759942364
18,5,3,0.03,nearst-neighbour,9.720480807064087,9.692879457887157,9.736982748262424,0.012830689942882317
18,5,3,0.04,nearst-neighbour,9.681676330854117,9.6587437948515,9.711270510484622,0.01761907598902148
18,5,3,0.05,nearst-neighbour,9.643833503933234,9.624166051012082,9.66816093910602,0.013591617720299794
18,5,3,0.060000000000000005,nearst-neighbour,9.619966568258391,9.549044061357685,9.655614592951238,0.03598328281423117
18,5,3,0.06999999999999999,nearst-neighbour,9.624824502690775,9.580828853118536,9.672183462817182,0.02838510907419976
18,5,3,0.08,nearst-neighbour,9.56892632384247,9.528076324003258,9.589835471765893,0.022639924310162353
18,5,3,0.09,nearst-neighbour,9.527124481928695,9.442921455046351,9.606655929499409,0.046791399633611425
18,5,3,0.09999999999999999,nearst-neighbour,9.517775499396773,9.483348187658907,9.551659633673111,0.023503308043911937
18,5,3,0.11,nearst-neighbour,9.463435106967221,9.362677808401697,9.566737089974039,0.05685654894381214
18,5,3,0.12,nearst-neighbour,9.449608969834104,9.333439763592953,9.496629696090805,0.046475105929357705
