V,D,EPR,perturbation_ratio,traffic,Phi_per_EP,min,max,std
36,5,3,0.0,uniform,7.178857797414499,7.178857797414499,7.178857797414499,0.0
36,5,3,0.01,uniform,7.1777355746714395,7.177444740029506,7.178424607244018,0.0002801904054783966
36,5,3,0.02,uniform,7.176177117417858,7.175098590499239,7.17740055808025,0.0007233513949678397
36,5,3,0.03,uniform,7.175725168116168,7.174072679390538,7.177330566946915,0.0010231821172762977
36,5,3,0.04,uniform,7.173244505828203,7.17138566290819,7.174504165385711,0.0010446431432030135
36,5,3,0.05,uniform,7.17305700973164,7.16981505975492,7.175546993919186,0.0016881321775997086
36,5,3,0.060000000000000005,uniform,7.1723946064663195,7.169146582820921,7.175678536095004,0.0017796689269920396
36,5,3,0.06999999999999999,uniform,7.171306450631218,7.168876075861721,7.174356803480873,0.0017789219892123344
36,5,3,0.08,uniform,7.169282276187663,7.167077597653326,7.172343436673139,0.0015976543248298366
36,5,3,0.09,uniform,7.168065079205052,7.164293782378288,7.171335131464509,0.0020805710914589513
36,5,3,0.09999999999999999,uniform,7.166614528484146,7.16013475626397,7.173494008146379,0.0035646729729549
36,5,3,0.11,uniform,7.164297694839503,7.159899152316792,7.169362544926526,0.0027634456298808287
36,5,3,0.12,uniform,7.165788386939309,7.159853278395615,7.1718183141729295,0.0032749290058099916
36,5,3,0.13,uniform,7.162378108548228,7.156794457705157,7.1675871160034434,0.003953559418223538
36,5,3,0.14,uniform,7.163537433360067,7.156354233696103,7.170734155313562,0.0048838677089464684
36,5,3,0.15000000000000002,uniform,7.16175332626609,7.153365586000264,7.169849444373703,0.004818718530718051
36,5,3,0.16,uniform,7.160442704632786,7.156758815090954,7.167023644236059,0.0031033535975613035
36,5,3,0.17,uniform,7.158867819783216,7.145743921974835,7.172443381475944,0.006877760151478139
36,5,3,0.18000000000000002,uniform,7.156383928229147,7.141568342555666,7.165340914570804,0.007266492177559431
36,5,3,0.19,uniform,7.15644539737463,7.152661814333088,7.160853830984967,0.0028827748706536
36,5,3,0.2,uniform,7.155363784279116,7.145161356188658,7.162261928520844,0.0055767712326044465
36,5,3,0.21000000000000002,uniform,7.1542887789342755,7.1471273454571875,7.163553227557901,0.004142429835032462
36,5,3,0.22,uniform,7.151131380685536,7.1426440018198765,7.159100860582563,0.004390579244072905
36,5,3,0.23,uniform,7.149896265148671,7.139402014478075,7.160438989039237,0.006027544003026503
36,5,3,0.24000000000000002,uniform,7.147410163683017,7.134564095983935,7.154373199791816,0.0060154837125459765
36,5,3,0.25,uniform,7.146996601208038,7.138602195012167,7.158421701652943,0.0049964666246493615
36,5,3,0.26,uniform,7.142414186931259,7.126940317997447,7.154319970630587,0.008061272670875787
36,5,3,0.27,uniform,7.141781940733466,7.121932347784808,7.158938766265453,0.012503655726752452
36,5,3,0.28,uniform,7.141194781154584,7.131648657695587,7.1532983896329485,0.006392018847768452
36,5,3,0.29000000000000004,uniform,7.142108554639011,7.128760006364522,7.151478203951122,0.007561962418517142
36,5,3,0.3,uniform,7.137346919616414,7.120294016525486,7.148141914569386,0.008096893015449627
36,5,3,0.31,uniform,7.128750183719843,7.112722702036114,7.138787473439833,0.009293303435924362
36,5,3,0.32,uniform,7.135228443066244,7.126718380732753,7.145437760107905,0.005733772887258817
36,5,3,0.33,uniform,7.13690297448062,7.125425819086918,7.155672379319439,0.008203150857579018
36,5,3,0.34,uniform,7.132473492001333,7.119582978745758,7.139550157385173,0.005921686287759563
36,5,3,0.35000000000000003,uniform,7.131192514733084,7.09407723483668,7.150570066954127,0.016216441666473153
36,5,3,0.36000000000000004,uniform,7.1296822658234245,7.118496613588963,7.155669089685464,0.01239931244040026
36,5,3,0.37,uniform,7.1232418885824185,7.105942360273458,7.143041566949478,0.009864100198071768
36,5,3,0.38,uniform,7.1242583397564,7.099749103839664,7.145950732021991,0.014791061887159502
36,5,3,0.39,uniform,7.124522754822037,7.1132500120663265,7.1350719795686395,0.0070929663841388735
36,5,3,0.4,uniform,7.119494620152892,7.1039622325144585,7.137424841150486,0.010221627437958378
36,5,3,0.41000000000000003,uniform,7.119866561304306,7.087879106152376,7.139590388178481,0.01614311930342097
36,5,3,0.42000000000000004,uniform,7.1122837555896465,7.091774128361486,7.124951776698935,0.01097427126829113
36,5,3,0.43,uniform,7.112618406956545,7.08520920990352,7.129791970361235,0.013286782223413052
36,5,3,0.44,uniform,7.110626277639156,7.092955835951606,7.1290862424540835,0.011384573698240062
36,5,3,0.45,uniform,7.1045569073616175,7.088912709902007,7.134750241295371,0.0123679260185767
36,5,3,0.46,uniform,7.108729445264759,7.086450373794507,7.132890530978721,0.014371438757917361
36,5,3,0.47000000000000003,uniform,7.108034156884443,7.086288070919716,7.126744790481621,0.01399142063777489
36,5,3,0.48000000000000004,uniform,7.103559070601042,7.084269872143279,7.125533975147504,0.011682552289207466
36,5,3,0.49,uniform,7.098686405462144,7.067206845885777,7.11460128437986,0.017027195575226976
36,5,3,0.0,nearst-neighbour,9.907407407407407,9.907407407407407,9.907407407407407,0.0
