V,D,EPR,perturbation_ratio,traffic,Phi_per_EP,min,max,std
36,5,3,0.0,uniform,6.948051948051951,6.948051948051951,6.948051948051951,0.0
36,5,3,0.01,uniform,6.9470037457874785,6.94600046645187,6.948246729502436,0.0006936173262858645
36,5,3,0.02,uniform,6.946540214143482,6.942858796488389,6.95012159428121,0.002025250382431236
36,5,3,0.03,uniform,6.945408522520653,6.941669799175571,6.9503381161723645,0.002879008918342179
36,5,3,0.04,uniform,6.946398489151366,6.9431437246799925,6.951672705300975,0.0024963922788838774
36,5,3,0.05,uniform,6.942784553642426,6.9375924583632855,6.95182281769017,0.003602185116540625
36,5,3,0.060000000000000005,uniform,6.944767847972829,6.933058225181401,6.949690120459017,0.005388954782981555
36,5,3,0.06999999999999999,uniform,6.94306583009463,6.932297852423029,6.957404168876199,0.006922206525571842
36,5,3,0.08,uniform,6.9423548163270485,6.928722256318641,6.9537971435511965,0.007686869461089523
36,5,3,0.09,uniform,6.9396011758626255,6.925822096507615,6.95187999906938,0.008300130353594826
36,5,3,0.09999999999999999,uniform,6.937163683969274,6.9240591554495134,6.956137429112734,0.009055337200384138
36,5,3,0.11,uniform,6.939029112856643,6.930172765854173,6.95226747698862,0.006506657173830113
36,5,3,0.12,uniform,6.939090931497331,6.929166732691892,6.950405091854616,0.007034097025023895
36,5,3,0.13,uniform,6.936625985587662,6.917231333062791,6.952351105830281,0.011247859176144464
36,5,3,0.14,uniform,6.944164413448415,6.922727449461183,6.9635650198705585,0.01148495649236155
36,5,3,0.15000000000000002,uniform,6.9300473846305835,6.907479353233519,6.961133032668591,0.015252811430915876
36,5,3,0.16,uniform,6.934450579537435,6.921653787104116,6.954244525661484,0.0089654962147786
36,5,3,0.17,uniform,6.930233571330545,6.917207223827936,6.954984362100318,0.010795449596898031
36,5,3,0.18000000000000002,uniform,6.935219236865228,6.895481590494192,6.950407904374542,0.015391795949845275
36,5,3,0.19,uniform,6.935578635637205,6.908936304068789,6.948640020874186,0.011071114899735137
36,5,3,0.2,uniform,6.936003999468784,6.8983468753765695,6.965781969801082,0.018783591911758386
36,5,3,0.21000000000000002,uniform,6.936184773145095,6.90931074641793,6.9734746720775895,0.018151154085092772
36,5,3,0.22,uniform,6.932875037149391,6.892219836219033,6.9685932921261085,0.02159116230716414
36,5,3,0.23,uniform,6.9357199806921574,6.914765640622524,6.954506051890029,0.01434595861208625
36,5,3,0.24000000000000002,uniform,6.935225835784482,6.901917736806008,6.962367145829448,0.018526661272115177
36,5,3,0.25,uniform,6.93315084920345,6.904848737391904,6.9723829694418775,0.020398932654838584
36,5,3,0.26,uniform,6.918355547885699,6.8821044071932524,6.946407803480933,0.018176774346258577
36,5,3,0.27,uniform,6.922417185101269,6.854632470459557,6.9732505298105005,0.029382906027217763
36,5,3,0.28,uniform,6.924932790196197,6.888758237897355,6.94607504492065,0.02054087991603192
36,5,3,0.29000000000000004,uniform,6.937662699088703,6.904901820654116,6.980681550077572,0.02434788728685898
36,5,3,0.3,uniform,6.918548553916397,6.880399683954494,6.95267570264018,0.024524448992833323
36,5,3,0.31,uniform,6.922118421566731,6.889577779566734,6.957702504405251,0.021113399208585355
36,5,3,0.32,uniform,6.915585901196531,6.864286554420416,6.958682044066415,0.02773795738654968
36,5,3,0.33,uniform,6.920258405016365,6.88258877116117,6.94949373516748,0.02060674035211844
36,5,3,0.34,uniform,6.915055371679824,6.8793271626809815,6.947172917608468,0.022762061243648202
36,5,3,0.35000000000000003,uniform,6.9084970201647184,6.857843883596685,7.0002785993042,0.03672877547388961
36,5,3,0.36000000000000004,uniform,6.909997099716692,6.85544035649289,6.9729921369254315,0.033538633267939634
36,5,3,0.37,uniform,6.920529588487358,6.871690655726002,6.962672173153244,0.027418445562133242
36,5,3,0.38,uniform,6.9023107657646054,6.831579476550253,6.9277798161477,0.02572937060225086
36,5,3,0.39,uniform,6.931473976905826,6.873925636994547,6.993943043540626,0.03414239070730248
