V,D,EPR,perturbation_ratio,traffic,Phi_per_EP,min,max,std
18,5,3,0.0,uniform,8.412698412698411,8.412698412698411,8.412698412698411,0.0
18,5,3,0.01,uniform,8.410919780490058,8.408635025337935,8.412085532716693,0.0011277724815800156
18,5,3,0.02,uniform,8.407703482319226,8.40315367878119,8.411881767859247,0.002748567076922216
18,5,3,0.03,uniform,8.40793507934813,8.404575758283023,8.411350805653198,0.0018761068952787058
18,5,3,0.04,uniform,8.405073301752001,8.399914244297754,8.408116145827417,0.0030874557061206236
18,5,3,0.05,uniform,8.403044801986935,8.393202723349601,8.415378013208478,0.007054325247703106
18,5,3,0.060000000000000005,uniform,8.40139671762106,8.3921280130708,8.409440826331576,0.005819269201332113
18,5,3,0.06999999999999999,uniform,8.399620638943388,8.380715326605175,8.406611954244713,0.007207654910239409
18,5,3,0.08,uniform,8.393643603544671,8.378860272744769,8.402713058867556,0.006645980093907473
18,5,3,0.09,uniform,8.389478409004427,8.372485585258557,8.409292944333437,0.01176135934916173
18,5,3,0.09999999999999999,uniform,8.390217100361948,8.377096399985833,8.406123853720784,0.01058014815136657
18,5,3,0.11,uniform,8.397937559584223,8.368883827970832,8.422766131567638,0.015471805509318523
18,5,3,0.12,uniform,8.384283900167468,8.361295405173932,8.405802322124524,0.014198904163873736
18,5,3,0.13,uniform,8.387230714161358,8.370934042755781,8.400891699885582,0.010110571733914662
18,5,3,0.14,uniform,8.391197554962272,8.349986662380436,8.415713243035487,0.01628052237180424
18,5,3,0.15000000000000002,uniform,8.379975903016092,8.34105229503186,8.413771665449024,0.020394167112660254
18,5,3,0.16,uniform,8.380922442058893,8.349903925991564,8.399391134616316,0.013180253070811679
18,5,3,0.17,uniform,8.386623973144246,8.366046418469416,8.416045739804664,0.016737166633927398
18,5,3,0.18000000000000002,uniform,8.38011371233463,8.335321085552964,8.42107075556987,0.02417816528637218
18,5,3,0.19,uniform,8.392374391210593,8.370099952713023,8.413638696023709,0.01331760302542079
18,5,3,0.2,uniform,8.38003174180975,8.338290234311367,8.406220698213284,0.021110522264040605
18,5,3,0.21000000000000002,uniform,8.382178718065337,8.334045706833937,8.428324055173332,0.023636782612297614
18,5,3,0.22,uniform,8.36535451807956,8.307180545176893,8.410878320322915,0.02512739955650393
18,5,3,0.23,uniform,8.372587894754364,8.323697811817132,8.413839036597485,0.026630282461764465
18,5,3,0.24000000000000002,uniform,8.360561202899948,8.318085055060337,8.399834816333847,0.026164410235755105
18,5,3,0.25,uniform,8.364578624789383,8.291593162747343,8.41364642333884,0.036260534907355854
18,5,3,0.26,uniform,8.343011962009339,8.314883998447089,8.393186337565522,0.022973578314162815
18,5,3,0.27,uniform,8.360276439700945,8.317109491561016,8.380538175231282,0.02244942630090188
18,5,3,0.28,uniform,8.354444277844602,8.300498764225805,8.37907468870691,0.021790841874914046
18,5,3,0.29000000000000004,uniform,8.36183941295946,8.32477833438725,8.405794821445927,0.024835621958596735
18,5,3,0.3,uniform,8.339522455549004,8.265798730455774,8.393052649774617,0.04273640231192392
18,5,3,0.31,uniform,8.374282428289856,8.34194350283089,8.419343013565342,0.026938189757680905
18,5,3,0.32,uniform,8.341012364580552,8.29682731807418,8.386356764252636,0.0242333573370693
18,5,3,0.33,uniform,8.36024093998019,8.301631318537057,8.457965949968196,0.041599942586745715
18,5,3,0.34,uniform,8.33620497300149,8.296861573177049,8.401232783839479,0.029068214976809652
18,5,3,0.35000000000000003,uniform,8.348101356532192,8.302110900269835,8.399922884206696,0.03641566820709636
18,5,3,0.36000000000000004,uniform,8.318043023042886,8.162798574607798,8.382816742417061,0.05822207326424272
18,5,3,0.37,uniform,8.35624105964893,8.313332984731229,8.436135562942766,0.03590882267789611
18,5,3,0.38,uniform,8.324005308962546,8.28653971013521,8.359364186046726,0.02262827242498347
18,5,3,0.39,uniform,8.315224142114264,8.255773278446242,8.36604588866031,0.037025434873209584
18,5,3,0.4,uniform,8.33365743587451,8.288563035217646,8.403249492974252,0.03341514946177195
18,5,3,0.41000000000000003,uniform,8.334356086611079,8.28980675647663,8.401336949099703,0.03180489056317104
18,5,3,0.42000000000000004,uniform,8.329843752584626,8.24653118904279,8.396913123578658,0.04019447919567253
18,5,3,0.43,uniform,8.340499574663394,8.258530663799798,8.402359217532963,0.05046677247645169
18,5,3,0.44,uniform,8.267052032544118,8.00423527348348,8.393249924149266,0.09842083160435129
18,5,3,0.45,uniform,8.30817259376118,8.213120567855638,8.409538347056886,0.05161575955375021
18,5,3,0.46,uniform,8.316754724613798,8.240290399262362,8.388860546524361,0.05236306990337337
18,5,3,0.47000000000000003,uniform,8.318689981992756,8.183007097627035,8.39240059767702,0.062239145765255015
18,5,3,0.48000000000000004,uniform,8.312432044454814,8.189244431433341,8.392515806006521,0.06417692838043271
18,5,3,0.49,uniform,8.289993922318056,8.232861310202294,8.333423565775556,0.03224285385937419
18,5,3,0.0,nearst-neighbour,9.814814814814815,9.814814814814815,9.814814814814815,0.0
18,5,3,0.01,nearst-neighbour,9.782122541908397,9.762446856120926,9.788836456961624,0.007155229322648997
18,5,3,0.02,nearst-neighbour,9.748144290840857,9.735356576707844,9.764581285511065,0.008166257039940384
18,5,3,0.03,nearst-neighbour,9.718083503932778,9.68933722285269,9.73682638744482,0.013279066385367036
18,5,3,0.04,nearst-neighbour,9.685009287977827,9.633128449831881,9.71800782439906,0.020444938708282786
18,5,3,0.05,nearst-neighbour,9.669474766058087,9.627162038829212,9.701560115875004,0.023086763435042033
18,5,3,0.060000000000000005,nearst-neighbour,9.62898937379674,9.571635106960443,9.657984713527377,0.024268905377895434
18,5,3,0.06999999999999999,nearst-neighbour,9.59369988511107,9.506644222780611,9.650355172550961,0.045261876674399466
18,5,3,0.08,nearst-neighbour,9.577501735301906,9.525015055867701,9.635604345617923,0.03341845270167027
18,5,3,0.09,nearst-neighbour,9.531353430522497,9.461341617165347,9.619218183876649,0.05284382180265732
18,5,3,0.09999999999999999,nearst-neighbour,9.487852959524306,9.405908237443128,9.588535385036922,0.05792603940354668
18,5,3,0.11,nearst-neighbour,9.440842104714546,9.334669539733433,9.527910310834837,0.060008263418358375
18,5,3,0.12,nearst-neighbour,9.44083591626883,9.310124724068102,9.481471245708082,0.048410707901629706
18,5,3,0.13,nearst-neighbour,9.41492449660725,9.32654248166082,9.507815462452179,0.046030876897078826
18,5,3,0.14,nearst-neighbour,9.369652955812601,9.171165545744312,9.509042400540116,0.11513232429059603
18,5,3,0.15000000000000002,nearst-neighbour,9.355236438059704,9.238489590797737,9.45131697919765,0.059905503880154906
18,5,3,0.16,nearst-neighbour,9.347138522025547,9.265020296899735,9.422602181213025,0.04557713336023646
18,5,3,0.17,nearst-neighbour,9.284569626521824,9.113224850422151,9.376277298911592,0.08636074975993341
18,5,3,0.18000000000000002,nearst-neighbour,9.282717698128124,9.199615645612667,9.364392675630187,0.05495917378975557
18,5,3,0.19,nearst-neighbour,9.214989839866922,9.053905993393547,9.387933613767002,0.08056294456477994
18,5,3,0.2,nearst-neighbour,9.209478831187663,9.044277316001676,9.338251529678931,0.08123067720179537
18,5,3,0.21000000000000002,nearst-neighbour,9.161089775140503,8.948545394042474,9.325133370415667,0.11527894293532119
18,5,3,0.22,nearst-neighbour,9.148269864742385,9.03718935235198,9.27871909791962,0.08552774629064057
18,5,3,0.23,nearst-neighbour,9.117382435009102,8.985171675308383,9.297279432508068,0.10623158908754317
18,5,3,0.24000000000000002,nearst-neighbour,9.097927924839667,8.965177007741486,9.177540370718292,0.077619832844531
18,5,3,0.25,nearst-neighbour,9.052760592517611,8.888946206472948,9.273498668637806,0.12402046295454665
18,5,3,0.26,nearst-neighbour,9.039672891077027,8.804057286539821,9.165448095021045,0.09718311390087801
18,5,3,0.27,nearst-neighbour,9.106834365573956,9.021458921594258,9.244796909018927,0.06293259405673368
18,5,3,0.28,nearst-neighbour,8.99500141017172,8.812199228697834,9.196741661812315,0.11846974530273174
18,5,3,0.29000000000000004,nearst-neighbour,9.017148802957859,8.840249438871796,9.179319157507784,0.0884073395600488
18,5,3,0.3,nearst-neighbour,8.935147006124708,8.62036499055322,9.061371309251234,0.13397302504067365
18,5,3,0.31,nearst-neighbour,8.900859003892563,8.702753158983409,9.050651056829956,0.12370837845005819
18,5,3,0.32,nearst-neighbour,8.829158576773057,8.559941995927616,9.031334183789593,0.1565983517937413
18,5,3,0.33,nearst-neighbour,8.874903913198342,8.755695908666075,8.987113719938655,0.08560775911907874
18,5,3,0.34,nearst-neighbour,8.840107663140538,8.686635249583855,9.033907249695611,0.11850238410823877
18,5,3,0.35000000000000003,nearst-neighbour,8.807295392159896,8.690088396288367,9.058146772506579,0.10178447578673709
18,5,3,0.36000000000000004,nearst-neighbour,8.764175750941439,8.491995870658942,9.09018942738771,0.18732337487008033
18,5,3,0.37,nearst-neighbour,8.782584605232355,8.384558950191071,8.942522075857253,0.15608033489788814
18,5,3,0.38,nearst-neighbour,8.75630187063212,8.498329534074331,8.96896694869956,0.1528628084403016
18,5,3,0.39,nearst-neighbour,8.699265008183461,8.512560645709373,8.830643383706871,0.0945102691938619
