V,D,EPR,traffic,Phi,Phi_per_EP
36,5,3,uniform,556.2454873646205,5.150421179302042
36,5,3,nearst-neighbour,1070.0,9.907407407407407
36,5,3,shift_1,540.0,5.0
36,5,3,shift_half,180.0,1.6666666666666667
36,5,3,router-cluster,225.5421686746987,2.088353413654618
36,5,3,random-permute,249.23076923076923,2.3076923076923075
114,8,4,uniform,2426.855895196502,5.322052401746714
114,8,4,nearst-neighbour,4550.0,9.978070175438596
114,8,4,shift_1,2280.0,5.0
114,8,4,shift_half,380.0,0.8333333333333334
114,8,4,router-cluster,926.7625899280584,2.0323741007194265
114,8,4,random-permute,788.4726224783865,1.7291066282420757
264,11,6,uniform,7323.346517799028,4.623324821842821
264,11,6,nearst-neighbour,15830.0,9.993686868686869
264,11,6,shift_1,7920.0,5.0
264,11,6,shift_half,1100.000000000006,0.6944444444444482
264,11,6,router-cluster,2767.5159235668775,1.747169143665958
264,11,6,random-permute,2345.8392101551412,1.480959097320165
