V,D,EPR,traffic,Phi,Phi_per_EP
36,5,3,uniform,556.9939736216808,5.157351607608155
36,5,3,nearst-neighbour,692.3529411764705,6.410675381263616
36,5,3,shift_1,471.42857142857144,4.365079365079366
36,5,3,shift_half,174.85714285714283,1.6190476190476188
36,5,3,router-cluster,418.96460333352957,3.8793018827178662
36,5,3,random-permute,242.64317180616735,2.2466960352422904
114,8,4,uniform,2610.104789301799,5.723914011626752
114,8,4,nearst-neighbour,3190.4090267983074,6.996511023680498
114,8,4,shift_1,2203.999999999999,4.833333333333331
114,8,4,shift_half,488.57142857142856,1.0714285714285714
114,8,4,router-cluster,1751.6081239582688,3.8412458858733967
114,8,4,random-permute,912.0,2.0
264,11,6,uniform,8639.18397395323,5.454030286586635
264,11,6,nearst-neighbour,11725.92592592586,7.402731013842083
264,11,6,shift_1,7920.0,5.0
264,11,6,shift_half,1131.4285714285722,0.7142857142857147
264,11,6,router-cluster,6646.84390032567,4.196239836064185
264,11,6,random-permute,2950.2439024390205,1.8625277161862503
