V,D,EPR,perturbation_ratio,traffic,Phi_per_EP,min,max,std
36,5,3,0.0,uniform,6.599209790883685,6.599209790883685,6.599209790883685,0.0
36,5,3,0.01,uniform,6.590660721279656,6.58642427403104,6.593963474946547,0.002453065646216682
36,5,3,0.02,uniform,6.582651673729389,6.577213741213768,6.587127563541252,0.0034050623183821222
36,5,3,0.03,uniform,6.576344602326074,6.568636319475604,6.583382793759076,0.00455385886523853
36,5,3,0.04,uniform,6.559886547985632,6.543267677608634,6.569856311711434,0.008215294541135973
36,5,3,0.05,uniform,6.550508653669395,6.528250938209907,6.5705369946485765,0.012018288977457095
36,5,3,0.060000000000000005,uniform,6.544457253579672,6.513790068598172,6.564710870934528,0.016449603187185274
36,5,3,0.06999999999999999,uniform,6.535387228277043,6.500223157590932,6.553544394489756,0.01668669932250068
36,5,3,0.08,uniform,6.518948505038307,6.479748137809897,6.539418957146837,0.017270733811347277
36,5,3,0.09,uniform,6.51718035943874,6.485474138134533,6.540071352958438,0.014722611429637269
36,5,3,0.09999999999999999,uniform,6.49619573875899,6.432695372409633,6.5229513179501515,0.02546517677629916
36,5,3,0.11,uniform,6.480258660522156,6.41983681444291,6.502187618590331,0.023822871250970292
36,5,3,0.12,uniform,6.484866892681104,6.470528562085581,6.500896051744561,0.008536395874700797
36,5,3,0.13,uniform,6.46945313307626,6.423609007406228,6.503072896219264,0.021847813265107135
36,5,3,0.14,uniform,6.4622459977081235,6.395601618588111,6.495720844412399,0.028184757218994147
36,5,3,0.15000000000000002,uniform,6.454191449017185,6.419425885177684,6.49401496969237,0.023284425762766854
36,5,3,0.16,uniform,6.429239729405266,6.319901642449948,6.463452760643874,0.039529615942988185
36,5,3,0.17,uniform,6.428823714586618,6.375318812658062,6.479004558641122,0.034126867859841745
36,5,3,0.18000000000000002,uniform,6.404847139590747,6.358445275838087,6.446584798201527,0.022810825755252697
36,5,3,0.19,uniform,6.396421576173522,6.349154330011906,6.457448761506014,0.03411528509271677
36,5,3,0.2,uniform,6.408183247256433,6.36546225521379,6.4788548225327265,0.03326509181841116
36,5,3,0.21000000000000002,uniform,6.390610577620139,6.281864390405933,6.448290448646673,0.043733690112440896
36,5,3,0.22,uniform,6.375234075388536,6.3280993614948855,6.409286890309094,0.02523000672429519
36,5,3,0.23,uniform,6.346813277589634,6.281917122794232,6.418759029183603,0.04647485417826069
36,5,3,0.24000000000000002,uniform,6.354387482733172,6.282647594977976,6.387584430674052,0.03019335187007397
36,5,3,0.25,uniform,6.38374355891907,6.337486088256855,6.4378271179938755,0.027529493919733482
36,5,3,0.26,uniform,6.344125539642282,6.2598293487262895,6.416179901396219,0.046647792227710864
36,5,3,0.27,uniform,6.331239460597171,6.239757014067406,6.389638466042324,0.04385069974754152
36,5,3,0.28,uniform,6.332597375206737,6.292162563229671,6.369432034055992,0.02618787422551685
36,5,3,0.29000000000000004,uniform,6.254450912718845,6.191274927646678,6.332865133428295,0.05121204527541378
36,5,3,0.3,uniform,6.2516738031828405,6.110996139234994,6.3790971245151775,0.07674202709780356
36,5,3,0.31,uniform,6.262171377326612,6.157300758656464,6.400966034387251,0.06878142011870333
36,5,3,0.32,uniform,6.2452253574820675,6.176250970269189,6.340322353228368,0.04522315702260526
36,5,3,0.33,uniform,6.245982841538085,6.125760778077957,6.348591206766735,0.0610084090702848
36,5,3,0.34,uniform,6.2517717275093885,6.139776337289961,6.340923345455352,0.06305268545009735
36,5,3,0.35000000000000003,uniform,6.265485903932311,6.111437270945044,6.350823813587953,0.06513454032943236
36,5,3,0.36000000000000004,uniform,6.273440124838054,6.1584506860624595,6.3364919222119385,0.04769927738039477
36,5,3,0.37,uniform,6.256275443393786,6.141869511962233,6.339393306077608,0.052619415344285825
36,5,3,0.38,uniform,6.161869480078098,6.086950955753041,6.261452246024328,0.05890604794198804
36,5,3,0.39,uniform,6.232713649254026,6.112367801068079,6.301078663524006,0.052996370215188
36,5,3,0.4,uniform,6.18591982913042,6.086000973483351,6.312374229209102,0.0739045526726079
36,5,3,0.41000000000000003,uniform,6.230345882581223,6.160702025652615,6.364602629968901,0.05994542127705887
36,5,3,0.42000000000000004,uniform,6.1572798540461235,6.029665176613982,6.245086132394108,0.06993364380327163
36,5,3,0.43,uniform,6.122297209013592,5.979918152313429,6.226376526520607,0.06924899873410398
36,5,3,0.44,uniform,6.151411593646268,6.0768165472245315,6.272291919402438,0.05834390797536406
36,5,3,0.45,uniform,6.163372104341271,6.055804347805094,6.259088123946871,0.05234956168775743
36,5,3,0.46,uniform,6.121232336623875,6.03178808856376,6.211607840229574,0.05624334856875154
36,5,3,0.47000000000000003,uniform,6.110853408745345,6.0283805260403485,6.215624193971933,0.05748098539236966
36,5,3,0.48000000000000004,uniform,6.157014729380007,6.096804240420291,6.233010345291319,0.03417586529705996
36,5,3,0.49,uniform,6.099217536009288,5.9480921241591105,6.2000877902819855,0.07477971185021573
36,5,3,0.0,nearst-neighbour,9.907407407407407,9.907407407407407,9.907407407407407,0.0
36,5,3,0.01,nearst-neighbour,9.72634024114354,9.694345385868314,9.761163242930651,0.02035594908089872
36,5,3,0.02,nearst-neighbour,9.512155312412153,9.368060949996798,9.62029881026529,0.07176824331483284
36,5,3,0.03,nearst-neighbour,9.324881471717259,9.207342726096469,9.473390751872628,0.06697930528425697
36,5,3,0.04,nearst-neighbour,9.211925259988273,9.041600794893348,9.341239897230547,0.09156150825965452
36,5,3,0.05,nearst-neighbour,9.089865898825334,9.010478823732885,9.229195460901842,0.06335770253924611
36,5,3,0.060000000000000005,nearst-neighbour,8.853323476037794,8.554076398769583,9.01932080593123,0.14986668800153177
36,5,3,0.06999999999999999,nearst-neighbour,8.763206381221085,8.612188518643864,8.924210845497171,0.10611092919702207
36,5,3,0.08,nearst-neighbour,8.598262318444867,8.347074082746811,8.866754185395576,0.15615059655308794
36,5,3,0.09,nearst-neighbour,8.449009183185657,8.225609813798208,8.669294588659222,0.11973011453909835
36,5,3,0.09999999999999999,nearst-neighbour,8.315398197667259,7.988962286385291,8.707280437010875,0.22592805832568394
36,5,3,0.11,nearst-neighbour,8.048827965909648,7.616135576803817,8.342841402772656,0.21106366365316193
36,5,3,0.12,nearst-neighbour,8.08194771485308,7.695253275212628,8.382157012073497,0.21941308477943852
36,5,3,0.13,nearst-neighbour,7.943924654017932,7.487679749102015,8.360042729941902,0.27655481550916705
36,5,3,0.14,nearst-neighbour,7.898482108689424,7.59403120085509,8.109191781259666,0.17498005969055994
36,5,3,0.15000000000000002,nearst-neighbour,7.7450128927198465,7.353984408078525,8.018629798129876,0.22887513200948087
36,5,3,0.16,nearst-neighbour,7.492150570734312,7.223781442900461,7.883595754927319,0.22636688070499159
36,5,3,0.17,nearst-neighbour,7.445677449671851,6.870763915847124,7.905776271705658,0.2966208926803353
36,5,3,0.18000000000000002,nearst-neighbour,7.3497522607598285,7.187203897726129,7.602938214541037,0.14048827869662156
36,5,3,0.19,nearst-neighbour,7.303282077192264,6.8073157426854305,7.708798022391192,0.21519868614661836
36,5,3,0.2,nearst-neighbour,7.399055004914186,6.872381915000743,7.791999016506559,0.27478592861125084
36,5,3,0.21000000000000002,nearst-neighbour,7.1069107305372565,6.789548354354252,7.36436476747047,0.16189110643356336
36,5,3,0.22,nearst-neighbour,6.984751840718042,6.226263253565187,7.318095806514989,0.28586751005354405
36,5,3,0.23,nearst-neighbour,6.880880731230126,6.048067267698726,7.441513241701147,0.4513901461995763
36,5,3,0.24000000000000002,nearst-neighbour,6.8137019094852445,6.0544859332992855,7.186818771204696,0.3260371790863095
36,5,3,0.25,nearst-neighbour,6.582819304001925,6.1410470050464445,6.988594912349904,0.2522184405797362
36,5,3,0.26,nearst-neighbour,6.770122697085259,6.294449377165767,7.158141975174452,0.30218154883330905
36,5,3,0.27,nearst-neighbour,6.497521769685562,6.045549362494173,6.881699141873737,0.27153620563144587
36,5,3,0.28,nearst-neighbour,6.449179364743365,6.044611341058301,6.910492344321699,0.3417886397943541
36,5,3,0.29000000000000004,nearst-neighbour,6.307559587192007,5.801907939252113,6.722801941047207,0.31396361334009415
36,5,3,0.3,nearst-neighbour,6.385751609837216,5.866197478889604,7.038095083415325,0.37653910883810415
36,5,3,0.31,nearst-neighbour,6.142796335513624,5.90170774406407,6.494816558399257,0.1868563751468094
36,5,3,0.32,nearst-neighbour,6.1701333947745685,5.371169509956508,6.632114624076788,0.35475430924442425
36,5,3,0.33,nearst-neighbour,6.0782735773973195,5.644129801360817,6.397415849541669,0.2607770491378796
36,5,3,0.34,nearst-neighbour,5.77302719912201,5.221526856438455,6.121441841554973,0.2792501487387267
36,5,3,0.35000000000000003,nearst-neighbour,5.834286769828891,5.541692001534448,6.013995755714291,0.13876649281699946
36,5,3,0.36000000000000004,nearst-neighbour,5.93834653764715,5.169411836156415,6.362003680673222,0.36315481395632393
36,5,3,0.37,nearst-neighbour,5.897154322624759,5.5096843662105535,6.1735349384496,0.23953694765476027
36,5,3,0.38,nearst-neighbour,5.4950918323825935,5.0997634665171505,6.02901431450989,0.2665971330167277
36,5,3,0.39,nearst-neighbour,5.714847967459303,5.010244489557315,6.2225323679135505,0.36277979291673246
36,5,3,0.4,nearst-neighbour,5.810448233299953,5.028972326087667,6.231688556472672,0.3361946456292045
36,5,3,0.41000000000000003,nearst-neighbour,5.5473236137239,5.088995302890025,6.151957768843682,0.35115573122744337
36,5,3,0.42000000000000004,nearst-neighbour,5.389589041140175,4.338611644118491,6.304129645766055,0.4835395601198012
36,5,3,0.43,nearst-neighbour,5.3486813127772805,4.860550590854838,6.168831326940581,0.4303022314474841
36,5,3,0.44,nearst-neighbour,5.240743863221823,4.6239597499334835,5.6946000195014586,0.3372287850468756
36,5,3,0.45,nearst-neighbour,5.122226977525463,4.7211435800262205,5.371499577073195,0.23353494082898785
36,5,3,0.46,nearst-neighbour,5.40231856439345,5.016516138249278,5.8269840878690395,0.2429550374738492
36,5,3,0.47000000000000003,nearst-neighbour,5.223455483810852,4.826932142727248,5.454831986933207,0.20989595621245502
36,5,3,0.48000000000000004,nearst-neighbour,5.230908873098876,4.6645332317545245,5.720876636572412,0.3255480079769963
36,5,3,0.49,nearst-neighbour,5.192298654059234,4.581872533040844,5.57129769158852,0.2826855511513891
36,5,3,0.0,shift_1,10.0,10.0,10.0,0.0
36,5,3,0.01,shift_1,9.746500622956702,9.676161860882816,9.799053137250732,0.0358973934090346
36,5,3,0.02,shift_1,9.466884953363143,9.179878159935804,9.622247934576349,0.1132087812244178
36,5,3,0.03,shift_1,9.280521938209725,9.061518536389203,9.443032271751635,0.11536103748173425
36,5,3,0.04,shift_1,9.125601101672519,8.919254634798419,9.319620506886537,0.12419380218641284
36,5,3,0.05,shift_1,8.865590817357134,8.622473754716783,9.018471083894196,0.12046636734063648
36,5,3,0.060000000000000005,shift_1,8.768457254346368,8.595910513141478,9.066803692325214,0.13670902287375614
36,5,3,0.06999999999999999,shift_1,8.444306338137231,8.169725657113,8.680914797052099,0.12927046272673168
36,5,3,0.08,shift_1,8.369789224771347,8.061026465659637,8.625386859036244,0.20102854102231713
36,5,3,0.09,shift_1,8.244523597788316,7.825140881410285,8.636280263294871,0.2387301893661893
36,5,3,0.09999999999999999,shift_1,7.985978559849959,7.492499430663471,8.466854247103086,0.28605037010369
36,5,3,0.11,shift_1,7.686782735918594,7.287082477880329,8.320081622569068,0.3396394667433206
36,5,3,0.12,shift_1,7.760385601201513,7.267255127253737,8.05090491262089,0.23731814812336546
36,5,3,0.13,shift_1,7.521499848059003,7.085479795555404,7.869011898614961,0.2962792720445243
36,5,3,0.14,shift_1,7.3322852251301684,6.673888133045726,7.866013785836065,0.4159010797970706
36,5,3,0.15000000000000002,shift_1,7.177186574501841,6.305234446801393,7.646402089859385,0.3738903679729754
36,5,3,0.16,shift_1,7.033911625891046,6.1247809013852015,7.4729539832168035,0.3488226066337032
36,5,3,0.17,shift_1,7.038810871081256,6.7251117463013035,7.240787666508333,0.16872473964096443
36,5,3,0.18000000000000002,shift_1,7.057572042397193,6.237182766031046,7.511430079859236,0.3312835663780621
36,5,3,0.19,shift_1,6.911148364285498,6.309263249457373,7.407716358971338,0.3229274612909247
36,5,3,0.2,shift_1,6.72688545368314,5.962985966498503,7.210216839659677,0.3295742923520388
36,5,3,0.21000000000000002,shift_1,6.543929666841192,5.233099865432508,7.438234268592053,0.555369790519852
36,5,3,0.22,shift_1,6.305240000781276,5.820245958779129,7.085350741455617,0.36822699450036106
