V,D,EPR,perturbation_ratio,traffic,Phi_per_EP,min,max,std
18,5,3,0.0,uniform,7.55288354486752,7.55288354486752,7.55288354486752,0.0
18,5,3,0.01,uniform,7.552610819849059,7.5444927661977825,7.559770099824734,0.004554905048032507
18,5,3,0.02,uniform,7.5448067267154455,7.529158122443111,7.554963624643692,0.006782036807534253
18,5,3,0.03,uniform,7.5291705386369445,7.5032004171281255,7.545272503092409,0.01062485639910427
18,5,3,0.04,uniform,7.5142642812900124,7.494565750001324,7.538016518287674,0.011953305614977395
18,5,3,0.05,uniform,7.510986007444075,7.490809103279986,7.536580257961327,0.014125779126540625
18,5,3,0.060000000000000005,uniform,7.486519444113698,7.466013429142446,7.5062646969847595,0.01196373387054135
18,5,3,0.06999999999999999,uniform,7.4811437710843105,7.4378233008410355,7.508061013604379,0.02364295044815242
18,5,3,0.08,uniform,7.466501759591921,7.410824434012357,7.496993172986024,0.02569053273010703
18,5,3,0.09,uniform,7.469189423229653,7.4349054215109485,7.508129519641297,0.022213615545932066
18,5,3,0.09999999999999999,uniform,7.442004737846327,7.41594435104671,7.479852939330171,0.021031398570012797
18,5,3,0.11,uniform,7.4454045909167546,7.412162724827012,7.486293179186123,0.02265176694802816
18,5,3,0.12,uniform,7.42858663478241,7.387975164654972,7.475959048559592,0.02709808493661766
18,5,3,0.13,uniform,7.412632775813945,7.364115528706397,7.454221165815941,0.03418340822522095
18,5,3,0.14,uniform,7.404057680150659,7.359992185545317,7.44964226365338,0.031148103809074516
18,5,3,0.15000000000000002,uniform,7.368000253741019,7.301772668481139,7.428703428521586,0.039769872318084674
18,5,3,0.16,uniform,7.373662014826438,7.290361160092216,7.480722311960594,0.05366393916925867
18,5,3,0.17,uniform,7.349977653808193,7.25975047857739,7.407837493040456,0.047544078114573965
18,5,3,0.18000000000000002,uniform,7.359654111343209,7.21331217122118,7.423761491625724,0.06199444784192983
18,5,3,0.19,uniform,7.348785274383863,7.27025719601571,7.478497026494047,0.058398442011850946
18,5,3,0.2,uniform,7.299871069915616,7.239251656784564,7.377452520704441,0.038266931101799524
18,5,3,0.21000000000000002,uniform,7.29953215769396,7.205237993395743,7.3699630982663376,0.055829192664629754
18,5,3,0.22,uniform,7.304223884844623,7.170507525521918,7.384873968714705,0.07164019572889478
18,5,3,0.23,uniform,7.249616711416488,7.146974651811746,7.378840712965068,0.06566258295396395
18,5,3,0.24000000000000002,uniform,7.255203758240205,7.119943424193728,7.358090777533939,0.06328375660722804
18,5,3,0.25,uniform,7.237095208333483,7.139335151683732,7.35465419121453,0.08084897506773016
18,5,3,0.26,uniform,7.236088743304379,7.1042927711927115,7.359703350523965,0.08104115584409372
18,5,3,0.27,uniform,7.252604514472405,7.174890990887111,7.314806651183614,0.045570771388873325
18,5,3,0.28,uniform,7.239191273760402,7.181873956680366,7.318907540839495,0.041840115038186444
18,5,3,0.29000000000000004,uniform,7.194808124245964,7.11159166513698,7.276422379699732,0.05221607644818029
18,5,3,0.3,uniform,7.208818191269122,7.075036278569449,7.292954214740109,0.07353792921787078
18,5,3,0.31,uniform,7.188396870868108,7.081286081873266,7.339344278592863,0.07078349799294441
18,5,3,0.32,uniform,7.12268795197713,6.873677337425893,7.256070596024058,0.12971939027195614
18,5,3,0.33,uniform,7.136348230611356,7.036536837691722,7.247641248866136,0.06608005951462795
18,5,3,0.34,uniform,7.136999993378159,7.088013433060595,7.200882982555563,0.036511416139680564
18,5,3,0.35000000000000003,uniform,7.114264303562734,7.003826484699328,7.2367126693477,0.0802625385688182
18,5,3,0.36000000000000004,uniform,7.074480513888247,6.904554334621264,7.219877491188418,0.09534883273261245
18,5,3,0.37,uniform,7.101109552912527,6.910193908892878,7.200623293593251,0.08036100108194019
18,5,3,0.38,uniform,7.052422947846692,6.927958342089642,7.1643447245032235,0.07715583374054356
18,5,3,0.39,uniform,7.1004190637502465,6.973884925749473,7.249111555864222,0.08590104182798737
