V,D,EPR,perturbation_ratio,traffic,Phi_per_EP,min,max,std
36,5,3,0.0,uniform,6.948051948051951,6.948051948051951,6.948051948051951,0.0
36,5,3,0.01,uniform,6.947597276186118,6.94614204994279,6.949652856573551,0.001106049770517804
36,5,3,0.02,uniform,6.9457620702805,6.94395223213342,6.949027781101472,0.00146124040826198
36,5,3,0.03,uniform,6.946858979361728,6.945061185972039,6.950247008049388,0.0016490509746045978
36,5,3,0.04,uniform,6.945810419406716,6.940447337346417,6.951223624100028,0.0035766431958824526
36,5,3,0.05,uniform,6.945192700700241,6.937507406439078,6.949728797830149,0.0037465595854291613
36,5,3,0.060000000000000005,uniform,6.943566457059593,6.933874050108891,6.953913247792552,0.006322770933837885
36,5,3,0.06999999999999999,uniform,6.942317320381181,6.933048311807736,6.955957277245954,0.006297541097702166
36,5,3,0.08,uniform,6.943936957988664,6.937078676544242,6.949891204670424,0.00443707573398254
36,5,3,0.09,uniform,6.941353857790695,6.929952052766106,6.956505173448154,0.008298614327665876
36,5,3,0.09999999999999999,uniform,6.940422829600611,6.919805972274101,6.952018759671954,0.009639302276252554
36,5,3,0.11,uniform,6.9417312077991395,6.9233713225455915,6.954325136626715,0.00962202082100198
36,5,3,0.12,uniform,6.937503292507029,6.917631363917338,6.952370725289109,0.009093607965335225
36,5,3,0.13,uniform,6.93624562847891,6.922484130786036,6.951562489485843,0.010026787165686156
36,5,3,0.14,uniform,6.9384542151449695,6.911639586966173,6.958707838931262,0.013232846112125711
36,5,3,0.15000000000000002,uniform,6.935240447247655,6.9073930037523565,6.9646504053793095,0.01587532353917057
36,5,3,0.16,uniform,6.939004124386022,6.917206520635078,6.964996879287698,0.016434924006866792
36,5,3,0.17,uniform,6.9363923321103655,6.913347826413957,6.951662118300378,0.013106106632021634
36,5,3,0.18000000000000002,uniform,6.944112297478415,6.919300120291818,6.96317706167635,0.012070903483787296
36,5,3,0.19,uniform,6.928184797697744,6.895982834302388,6.958530633680772,0.021373763555351883
36,5,3,0.2,uniform,6.9374387369408765,6.920976950770159,6.960513088961875,0.011779127446736627
36,5,3,0.21000000000000002,uniform,6.935366795192062,6.898207015469695,6.959714396677458,0.01803836633749681
36,5,3,0.22,uniform,6.929975652077569,6.90481422847187,6.958313218407896,0.01748717996527093
