V,D,traffic_pattern,Lremote_MAX_ECMP_ASP,Llocal_MAX_ECMP_ASP,Phi_ECMP_ASP[Gbps],Lremote_NEXU_IT,Phi_NEXU[Gbps],method1_times[s],method1_peak_RAMs[MB],method1_results[Gbps],method2_time[s],method2_attempts,method2_peak_RAM[MB]
16,5,uniform,10.0,6.68393519223932,320.82888922748737,7.779407283254606,412.4078834618681,"[0.044570207595825195, 0.02611994743347168, 0.026473283767700195, 0.029334068298339844]","[0.087428, 0.055832, 0.0566, 0.143696]","[320.8288892274875, 278.5185185185185, 208.88888888888883, 250.66666666666663]",0.8164749145507812,341,0.066404
16,5,shift_1,9.999999999999998,2.2222222222222223,106.66666666666667,3.7847222222222214,281.8348623853211,"[0.04270291328430176, 0.027668237686157227, 0.028371810913085938, 0.033278465270996094]","[0.08304, 0.05824, 0.05908, 0.149848]","[106.66666666666666, 106.66666666666666, 80.0, 106.66666666666666]",0.31594038009643555,306,0.043056
16,5,shift_quater,9.999999999999998,1.5555555555555554,74.66666666666667,2.843749999999999,262.5641025641026,"[0.04251527786254883, 0.027804136276245117, 0.0295407772064209, 0.036536216735839844]","[0.08304, 0.058568, 0.061056, 0.152344]","[74.66666666666667, 80.0, 80.0, 80.0]",0.32033276557922363,306,0.04708
16,5,shift_half,10.000000000000002,2.857142857142857,137.14285714285714,4.821428571428572,284.44444444444446,"[0.042775869369506836, 0.026746749877929688, 0.03216266632080078, 0.05903959274291992]","[0.07856, 0.05684, 0.064344, 0.158536]","[137.14285714285714, 160.0, 80.0, 160.0]",0.3305788040161133,306,0.044512
16,5,diagonal_1,9.999999999999998,3.8095238095238093,171.42857142857144,5.7142857142857135,300.00000000000006,"[0.04254317283630371, 0.025923967361450195, 0.029429197311401367, 0.03257560729980469]","[0.08304, 0.05564, 0.061248, 0.149144]","[171.42857142857142, 150.00000000000003, 100.00000000000001, 150.00000000000003]",0.3723599910736084,306,0.04468
16,5,diagonal_quater,10.0,2.5225225225225225,90.8108108108108,3.4881756756756754,260.3389830508475,"[0.04260897636413574, 0.02608776092529297, 0.02732086181640625, 0.0325319766998291]","[0.08304, 0.055936, 0.057736, 0.148856]","[90.8108108108108, 120.0, 80.0, 96.0]",0.3424818515777588,307,0.046864
25,6,uniform,10.000000000000004,6.158418784366176,461.881408827463,6.93992420864913,665.5424395727937,"[0.1347804069519043, 0.07150554656982422, 0.06945395469665527, 0.07941460609436035]","[0.227504, 0.14208, 0.142736, 0.377496]","[461.881408827463, 474.35897435897425, 324.56140350877195, 342.5925925925926]",1.5388224124908447,462,0.11396
25,6,shift_1,10.0,2.0,150.0,3.1875,470.5882352941176,"[0.13048338890075684, 0.06903386116027832, 0.08569574356079102, 0.09206986427307129]","[0.227504, 0.147216, 0.167344, 0.429152]","[150.0, 250.0, 125.0, 166.66666666666666]",0.5449676513671875,307,0.02976
25,6,shift_quater,10.000000000000002,1.9607843137254903,147.05882352941177,3.125,470.5882352941178,"[0.12790608406066895, 0.06911969184875488, 0.08297991752624512, 0.09107542037963867]","[0.227504, 0.146744, 0.165008, 0.426416]","[147.0588235294118, 250.00000000000006, 125.00000000000003, 166.66666666666669]",0.489224910736084,307,0.029544
25,6,shift_half,10.000000000000002,2.4137931034482762,181.03448275862067,3.8469827586206904,470.58823529411757,"[0.12747740745544434, 0.06615829467773438, 0.07012796401977539, 0.08109712600708008]","[0.227504, 0.142136, 0.148864, 0.411656]","[181.03448275862067, 187.49999999999997, 132.35294117647058, 124.99999999999997]",0.5904135704040527,332,0.060688
