V,D,traffic_pattern,Lremote_MAX_ECMP_ASP,Llocal_MAX_ECMP_ASP,Phi_ECMP_ASP[Gbps],Lremote_NEXU_IT,Phi_NEXU[Gbps],method1_times[s],method1_peak_RAMs[MB],method1_results[Gbps],method2_time[s],method2_attempts,method2_peak_RAM[MB]
16,5,uniform,10.0,6.68393519223932,320.82888922748737,8.041101630351971,398.98623842345864,[0.05882525444030762],[0.204495],[320.8288892274875],0.57558274269104,604,0.041858
16,5,shift_1,9.999999999999998,2.2222222222222223,106.66666666666667,3.958333333333333,269.4736842105263,[0.05794835090637207],[0.191232],[106.66666666666666],0.26534390449523926,600,0.032323
16,5,shift_quater,9.999999999999998,1.5555555555555554,74.66666666666667,2.770833333333332,269.47368421052636,[0.057152509689331055],[0.190784],[74.66666666666667],0.2553529739379883,600,0.028172
16,5,shift_half,10.000000000000002,2.857142857142857,137.14285714285714,5.357142857142858,256.0,[0.055944204330444336],[0.191232],[137.14285714285714],0.26882505416870117,603,0.025248
16,5,diagonal_1,10.0,3.636363636363636,174.54545454545453,5.7102272727272725,305.67164179104475,[0.05214190483093262],[0.191307],[174.54545454545453],0.30858826637268066,602,0.028988
16,5,diagonal_quater,10.0,2.5225225225225225,121.08108108108108,4.256756756756755,284.44444444444457,[0.048718929290771484],[0.191232],[121.08108108108108],0.28267431259155273,602,0.037564
16,5,diagonal_half,10.000000000000002,2.857142857142857,137.14285714285714,5.357142857142858,256.0,[0.05017447471618652],[0.17184],[137.14285714285714],0.23213410377502441,603,0.025184
25,6,uniform,10.000000000000004,6.158418784366176,461.881408827463,7.336454153663253,629.5703607673138,[0.19671273231506348],[0.598796],[461.881408827463],0.5800633430480957,608,0.055188
25,6,shift_1,10.0,2.0,150.0,3.375,444.44444444444446,[0.1952812671661377],[0.593292],[150.0],0.3824000358581543,604,0.04724
25,6,shift_quater,10.000000000000002,1.9607843137254903,147.05882352941177,3.125,470.5882352941178,[0.19424891471862793],[0.593292],[147.0588235294118],0.4152486324310303,601,0.046676
25,6,shift_half,10.000000000000002,2.4137931034482762,181.03448275862067,4.1142241379310365,440.02095337873214,[0.19326519966125488],[0.593228],[181.03448275862067],0.402512788772583,602,0.051976
25,6,diagonal_1,10.0,3.3333333333333335,250.0,5.0,500.0,[0.196061372756958],[0.5739],[250.0],0.5428216457366943,604,0.044248
25,6,diagonal_quater,10.0,3.3333333333333335,250.0,5.0,500.0,[0.19620203971862793],[0.59374],[250.0],0.4789845943450928,600,0.046988
25,6,diagonal_half,10.0,2.5225225225225225,189.1891891891892,4.256756756756757,444.4444444444444,[0.19369292259216309],[0.59374],[189.1891891891892],0.7829391956329346,595,0.048492
36,7,uniform,10.000000000000004,5.712021303575957,822.5310677149375,7.623319807253361,1078.967022913461,[0.5914275646209717],[1.245576],[822.5310677149381],1.0553538799285889,607,0.084752
36,7,shift_1,10.0,1.25,180.0,2.5,720.0,[0.5902771949768066],[1.245576],[180.0],0.7048680782318115,601,0.066396
36,7,shift_quater,9.999999999999998,1.4999999999999998,216.0,2.9999999999999996,720.0,[0.5972862243652344],[1.251528],[216.0],0.5863840579986572,603,0.067048
36,7,shift_half,10.0,2.25,324.0,4.359375,743.2258064516129,[0.6027712821960449],[1.245576],[324.0],0.6428425312042236,602,0.067656
36,7,diagonal_1,10.0,2.362204724409449,340.1574803149606,4.215879265091864,806.8482490272371,[0.5913646221160889],[1.245576],[340.1574803149607],0.5960960388183594,604,0.079008
36,7,diagonal_quater,10.0,1.9836272040302265,285.64231738035267,3.905266057934508,731.4285714285716,[0.5966055393218994],[1.245576],[285.6423173803526],0.5661826133728027,602,0.0712
36,7,diagonal_half,10.0,2.25,324.0,4.21875,768.0,[0.5920183658599854],[1.245576],[324.0],0.6815552711486816,601,0.07638
49,8,uniform,9.999999999999996,6.6349506792387505,1300.4503331307951,7.4696870389444685,1740.9703061864284,[1.5803117752075195],[2.553808],[1300.4503331307944],2.598839282989502,649,0.140428
49,8,shift_1,10.000000000000002,1.2000000000000002,235.20000000000002,1.975,1190.8860759493673,[1.575812816619873],[2.5476],[235.20000000000002],0.8094997406005859,602,0.112892
49,8,shift_quater,10.0,1.9672131147540983,385.5737704918033,3.3064988290398127,1166.108897742364,[1.6369876861572266],[2.54484],[385.5737704918033],0.8595790863037109,605,0.125548
49,8,shift_half,9.999999999999998,2.3809523809523805,466.6666666666667,3.854166666666666,1210.8108108108108,[1.5567970275878906],[2.5476],[466.6666666666667],0.8297581672668457,603,0.11922
49,8,diagonal_1,10.0,2.0,392.0,3.3402777777777777,1173.5550935550937,[1.56712007522583],[2.5476],[392.0],0.8215112686157227,600,0.126416
49,8,diagonal_quater,10.0,2.962962962962963,580.7407407407406,4.753386017274908,1221.7411727770354,[1.5632729530334473],[2.553808],[580.7407407407405],0.8882102966308594,613,0.12384
49,8,diagonal_half,9.999999999999998,2.3809523809523805,466.6666666666667,3.877314814814814,1203.5820895522388,[1.5726439952850342],[2.5476],[466.6666666666667],0.8170773983001709,605,0.12072
64,9,uniform,10.000000000000007,6.095479990222192,1950.5535968711001,7.951240234784083,2453.1438357730226,[3.7800540924072266],[4.785824],[1950.5535968710985],3.421482801437378,803,0.229628
64,9,shift_1,10.0,1.0,320.0,1.9389204545454546,1650.4029304029305,[3.7497150897979736],[4.782528],[320.0],1.1639151573181152,610,0.139656
64,9,shift_quater,9.999999999999998,1.268292682926829,405.8536585365855,2.4771341463414633,1638.4000000000003,[3.714769124984741],[4.778848],[405.8536585365854],1.2939376831054688,608,0.13376
64,9,shift_half,9.999999999999998,0.923076923076923,295.3846153846155,1.7307692307692306,1706.666666666667,[3.7319350242614746],[4.785824],[295.3846153846155],1.230412244796753,603,0.138284
64,9,diagonal_1,10.0,1.9310344827586206,617.9310344827585,3.7707228116710882,1638.760167069685,[3.7293965816497803],[4.785824],[617.9310344827585],1.142671823501587,603,0.15626
64,9,diagonal_quater,9.999999999999998,1.857142857142857,594.2857142857144,3.5063244047619055,1694.8965517241377,[3.783681631088257],[4.782528],[594.2857142857143],1.1554250717163086,610,0.140604
64,9,diagonal_half,9.999999999999998,0.923076923076923,295.3846153846155,1.7307692307692306,1706.666666666667,[3.6949198246002197],[4.778848],[295.3846153846155],1.3552343845367432,603,0.139932
81,10,uniform,10.0,6.5265677198247305,2643.259926529016,7.727932195214528,3420.3974100158866,[7.94606876373291],[8.477564],[2643.259926529016],4.907026052474976,827,0.233436
81,10,shift_1,10.0,1.0,405.0,1.71875,2356.3636363636365,[7.950223207473755],[8.476764],[405.0],1.6580548286437988,654,0.236924
81,10,shift_quater,10.000000000000004,1.0896898575020957,441.3243922883487,1.7707460184409054,2492.307692307693,[8.23563838005066],[8.476764],[441.3243922883488],1.6774163246154785,655,0.21988
81,10,shift_half,10.0,1.25,506.25,2.0575778388278385,2460.4172461752437,[7.991800546646118],[8.4775],[506.25],1.6527833938598633,646,0.213268
81,10,diagonal_1,10.0,1.894736842105263,767.3684210526314,3.1732395893580105,2418.2492353433686,[7.907830238342285],[8.476764],[767.3684210526314],1.6185503005981445,637,0.182467
81,10,diagonal_quater,10.000000000000004,1.4682813578465208,594.6539499278408,2.3252158050896847,2557.414019921067,[7.8913562297821045],[8.476764],[594.6539499278409],1.7402856349945068,668,0.20708
81,10,diagonal_half,10.0,1.3333333333333335,540.0000000000001,2.2779236694677873,2370.5798716520003,[8.01484489440918],[8.477436],[540.0000000000001],1.7834150791168213,680,0.229188
100,11,uniform,10.00000000000001,6.021784562127709,3613.070737276622,7.747497245524632,4663.532780684405,[16.15635657310486],[13.301064],[3613.070737276625],5.181864500045776,1028,0.42156
100,11,shift_1,10.000000000000002,0.8333333333333334,499.9999999999999,1.6493055555555556,3031.578947368421,[16.201445817947388],[13.301232],[499.9999999999999],2.39762544631958,712,0.288912
100,11,shift_quater,10.000000000000002,0.8333333333333334,499.9999999999999,1.5625000000000004,3199.999999999999,[16.184041023254395],[13.300504],[499.9999999999999],2.438744068145752,675,0.299788
100,11,shift_half,10.0,1.25,750.0,2.34375,3200.0,[16.038192987442017],[13.300504],[750.0],2.533207893371582,703,0.30206
100,11,diagonal_1,10.000000000000002,1.6666666666666667,999.9999999999998,3.1737446581196584,3150.852093414685,[15.98965573310852],[13.301168],[999.9999999999998],2.4160025119781494,698,0.275652
100,11,diagonal_quater,9.999999999999998,1.527777777777778,916.6666666666667,2.8645833333333335,3199.9999999999995,[16.093554735183716],[13.301064],[916.6666666666666],2.56630802154541,690,0.265644
100,11,diagonal_half,10.0,1.25,750.0,2.4609375,3047.6190476190477,[16.21984577178955],[13.301232],[750.0],2.372004985809326,661,0.298728
