V,D,traffic_pattern,Lremote_MAX_ECMP_ASP,Llocal_MAX_ECMP_ASP,Phi_ECMP_ASP[Gbps],Lremote_NEXU_IT,Phi_NEXU[Gbps],method1_times[s],method1_peak_RAMs[MB],method1_results[Gbps],method2_time[s],method2_attempts,method2_peak_RAM[MB]
16,5,uniform,10.0,6.68393519223932,320.82888922748737,7.719411854334905,415.61312607944734,"[0.05591392517089844, 0.06955337524414062]","[0.084247, 0.143592]","[320.8288892274875, 278.5185185185185]",0.4866335391998291,603,0.06265
16,5,shift_1,9.999999999999998,2.2222222222222223,106.66666666666667,3.75,284.4444444444444,"[0.05466485023498535, 0.07140612602233887]","[0.077896, 0.139996]","[106.66666666666666, 106.66666666666666]",0.2685253620147705,601,0.048503
16,5,shift_quater,9.999999999999998,1.5555555555555554,74.66666666666667,2.649305555555555,281.8348623853211,"[0.05423164367675781, 0.07149195671081543]","[0.073491, 0.127108]","[74.66666666666667, 80.0]",0.26332950592041016,600,0.04588
16,5,shift_half,10.000000000000002,2.857142857142857,137.14285714285714,4.821428571428572,284.44444444444446,"[0.05408215522766113, 0.07053089141845703]","[0.077896, 0.138024]","[137.14285714285714, 160.0]",0.3303871154785156,600,0.046196
16,5,diagonal_1,10.0,3.636363636363636,174.54545454545453,5.5397727272727275,315.07692307692304,"[0.046877145767211914, 0.061229705810546875]","[0.077896, 0.136312]","[174.54545454545453, 160.0]",0.2929096221923828,605,0.018072
16,5,diagonal_quater,10.0,2.5225225225225225,121.08108108108108,4.197635135135135,288.4507042253521,"[0.04659247398376465, 0.061051368713378906]","[0.077896, 0.137304]","[121.08108108108108, 160.0]",0.2294621467590332,601,0.049772
16,5,diagonal_half,10.000000000000002,2.857142857142857,137.14285714285714,4.955357142857143,276.7567567567568,"[0.04636025428771973, 0.06139206886291504]","[0.077896, 0.138024]","[137.14285714285714, 160.0]",0.22165298461914062,600,0.045588
25,6,uniform,10.000000000000004,6.158418784366176,461.881408827463,6.729268836379849,686.3768115942028,"[0.1905372142791748, 0.26299142837524414]","[0.222408, 0.37244]","[461.881408827463, 474.35897435897425]",1.1304588317871094,648,0.117096
25,6,shift_1,10.0,2.0,150.0,3.1875,470.5882352941176,"[0.18845510482788086, 0.2623624801635742]","[0.219656, 0.376736]","[150.0, 250.0]",0.39122843742370605,601,0.072196
25,6,shift_quater,10.000000000000002,1.9607843137254903,147.05882352941177,2.9411764705882355,500.0000000000001,"[0.18583917617797852, 0.26042890548706055]","[0.215232, 0.363372]","[147.0588235294118, 250.00000000000006]",0.4837684631347656,604,0.067684
25,6,shift_half,10.000000000000002,2.4137931034482762,181.03448275862067,3.8092672413793114,475.24752475247516,"[0.1882798671722412, 0.26038503646850586]","[0.2196, 0.369812]","[181.03448275862067, 187.49999999999997]",0.4797017574310303,600,0.089496
25,6,diagonal_1,10.0,3.3333333333333335,250.0,4.84375,516.1290322580645,"[0.18778657913208008, 0.260939359664917]","[0.219656, 0.370464]","[250.0, 250.0]",0.4029245376586914,600,0.086204
25,6,diagonal_quater,10.0,3.3333333333333335,250.0,4.6875,533.3333333333334,"[0.1865084171295166, 0.2616455554962158]","[0.219656, 0.368704]","[250.0, 250.0]",0.5872752666473389,628,0.09032
25,6,diagonal_half,10.0,2.5225225225225225,189.1891891891892,4.079391891891893,463.7681159420288,"[0.1893904209136963, 0.2621190547943115]","[0.219656, 0.370824]","[189.1891891891892, 166.66666666666669]",0.47191858291625977,600,0.092676
36,7,uniform,10.000000000000004,5.712021303575957,822.5310677149375,7.010207963479582,1173.3333333333337,"[0.5716488361358643, 0.8618385791778564]","[0.471136, 0.745728]","[822.5310677149381, 715.0000000000005]",3.0489678382873535,782,0.189848
36,7,shift_1,10.0,1.25,180.0,2.5,720.0,"[0.5650215148925781, 0.8387441635131836]","[0.471136, 0.810972]","[180.0, 180.0]",0.5363607406616211,605,0.058892
36,7,shift_quater,9.999999999999998,1.4999999999999998,216.0,2.8124999999999996,768.0,"[0.580329179763794, 0.8418407440185547]","[0.47504, 0.75594]","[216.0, 360.0]",0.5587422847747803,600,0.1358
